Column Name,NA,File,Corrected?,Additional Notes
Total Tested,FALSE,../../../covid19-data/IL/data/data.csv,,
Total Cases,FALSE,../../../covid19-data/IL/data/data.csv,,
Total Deaths,FALSE,../../../covid19-data/IL/data/data.csv,,
Total Cases: Male,FALSE,../../../covid19-data/IL/data/data.csv,,
Total Cases: Female,FALSE,../../../covid19-data/IL/data/data.csv,,
Total Cases: Unknown Sex,FALSE,../../../covid19-data/IL/data/data.csv,,
Total Deaths: Male,FALSE,../../../covid19-data/IL/data/data.csv,,
Total Deaths: Female,FALSE,../../../covid19-data/IL/data/data.csv,,
Total Deaths: Unknown Sex,FALSE,../../../covid19-data/IL/data/data.csv,,
# Cases Age [Unknown],FALSE,../../../covid19-data/IL/data/data.csv,,
# Cases Age [0-20],FALSE,../../../covid19-data/IL/data/data.csv,,
# Cases Age [20-29],FALSE,../../../covid19-data/IL/data/data.csv,,
# Cases Age [30-39],FALSE,../../../covid19-data/IL/data/data.csv,,
# Cases Age [40-49],FALSE,../../../covid19-data/IL/data/data.csv,,
# Cases Age [50-59],FALSE,../../../covid19-data/IL/data/data.csv,,
# Cases Age [60-69],FALSE,../../../covid19-data/IL/data/data.csv,,
# Cases Age [70-79],FALSE,../../../covid19-data/IL/data/data.csv,,
# Cases Age [80+],FALSE,../../../covid19-data/IL/data/data.csv,,
# Deaths Age [Unknown],FALSE,../../../covid19-data/IL/data/data.csv,,
# Deaths Age [0-20],FALSE,../../../covid19-data/IL/data/data.csv,,
# Deaths Age [20-29],FALSE,../../../covid19-data/IL/data/data.csv,,
# Deaths Age [30-39],FALSE,../../../covid19-data/IL/data/data.csv,,
# Deaths Age [40-49],FALSE,../../../covid19-data/IL/data/data.csv,,
# Deaths Age [50-59],FALSE,../../../covid19-data/IL/data/data.csv,,
# Deaths Age [60-69],FALSE,../../../covid19-data/IL/data/data.csv,,
# Deaths Age [70-79],FALSE,../../../covid19-data/IL/data/data.csv,,
# Deaths Age [80+],FALSE,../../../covid19-data/IL/data/data.csv,,
# Cases Race/Ethnicity: White,FALSE,../../../covid19-data/IL/data/data.csv,,
# Cases Race/Ethnicity: Black,FALSE,../../../covid19-data/IL/data/data.csv,,
# Cases Race/Ethnicity: Unknown,FALSE,../../../covid19-data/IL/data/data.csv,,
# Cases Race/Ethnicity: Other,FALSE,../../../covid19-data/IL/data/data.csv,,
# Cases Race/Ethnicity: Asian,FALSE,../../../covid19-data/IL/data/data.csv,,
# Cases Race/Ethnicity: Hispanic,FALSE,../../../covid19-data/IL/data/data.csv,,
# Cases Race/Ethnicity: NH/PI*,FALSE,../../../covid19-data/IL/data/data.csv,,
# Cases Race/Ethnicity: AI/AN**,FALSE,../../../covid19-data/IL/data/data.csv,,
# Deaths Race/Ethnicity: White,FALSE,../../../covid19-data/IL/data/data.csv,,
# Deaths Race/Ethnicity: Black,FALSE,../../../covid19-data/IL/data/data.csv,,
# Deaths Race/Ethnicity: Unknown,FALSE,../../../covid19-data/IL/data/data.csv,,
# Deaths Race/Ethnicity: Other,FALSE,../../../covid19-data/IL/data/data.csv,,
# Deaths Race/Ethnicity: Asian,FALSE,../../../covid19-data/IL/data/data.csv,,
# Deaths Race/Ethnicity: Hispanic,FALSE,../../../covid19-data/IL/data/data.csv,,
# Deaths Race/Ethnicity: NH/PI*,FALSE,../../../covid19-data/IL/data/data.csv,,
# Deaths Race/Ethnicity: AI/AN**,FALSE,../../../covid19-data/IL/data/data.csv,,
Scrape Time,FALSE,../../../covid19-data/IL/data/data.csv,,
% Cases Age [0-19],FALSE,../../../covid19-data/IN/data/data.csv,,
% Cases Age [20-29],FALSE,../../../covid19-data/IN/data/data.csv,,
% Cases Age [30-39],FALSE,../../../covid19-data/IN/data/data.csv,,
% Cases Age [40-49],FALSE,../../../covid19-data/IN/data/data.csv,,
% Cases Age [50-59],FALSE,../../../covid19-data/IN/data/data.csv,,
% Cases Age [60-69],FALSE,../../../covid19-data/IN/data/data.csv,,
% Cases Age [70-79],FALSE,../../../covid19-data/IN/data/data.csv,,
% Cases Age [80+],FALSE,../../../covid19-data/IN/data/data.csv,,
% Total Cases: Female,FALSE,../../../covid19-data/IN/data/data.csv,,
% Total Cases: Male,FALSE,../../../covid19-data/IN/data/data.csv,,
% Deaths Age [0-19],FALSE,../../../covid19-data/IN/data/data.csv,,
% Deaths Age [20-29],FALSE,../../../covid19-data/IN/data/data.csv,,
% Deaths Age [30-39],FALSE,../../../covid19-data/IN/data/data.csv,,
% Deaths Age [40-49],FALSE,../../../covid19-data/IN/data/data.csv,,
% Deaths Age [50-59],FALSE,../../../covid19-data/IN/data/data.csv,,
% Deaths Age [60-69],FALSE,../../../covid19-data/IN/data/data.csv,,
% Deaths Age [70-79],FALSE,../../../covid19-data/IN/data/data.csv,,
% Deaths Age [80+],FALSE,../../../covid19-data/IN/data/data.csv,,
% Deaths: Female,FALSE,../../../covid19-data/IN/data/data.csv,,
% Deaths: Male,FALSE,../../../covid19-data/IN/data/data.csv,,
Scrape Time,FALSE,../../../covid19-data/IN/data/data.csv,,
% Cases Age [0-19],FALSE,../../../covid19-data/IN/data/dataV1.csv,,
% Cases Age [20-29],FALSE,../../../covid19-data/IN/data/dataV1.csv,,
% Cases Age [30-39],FALSE,../../../covid19-data/IN/data/dataV1.csv,,
% Cases Age [40-49],FALSE,../../../covid19-data/IN/data/dataV1.csv,,
% Cases Age [50-59],FALSE,../../../covid19-data/IN/data/dataV1.csv,,
% Cases Age [60-69],FALSE,../../../covid19-data/IN/data/dataV1.csv,,
% Cases Age [70-79],FALSE,../../../covid19-data/IN/data/dataV1.csv,,
% Cases Age [80+],FALSE,../../../covid19-data/IN/data/dataV1.csv,,
% Total Cases: Female,FALSE,../../../covid19-data/IN/data/dataV1.csv,,
% Total Cases: Male,FALSE,../../../covid19-data/IN/data/dataV1.csv,,
Scrape Time,FALSE,../../../covid19-data/IN/data/dataV1.csv,,
Report Date,FALSE,../../../covid19-data/Iceland/data/data.csv,,
Total Cases,FALSE,../../../covid19-data/Iceland/data/data.csv,,
Total Active Cases,FALSE,../../../covid19-data/Iceland/data/data.csv,,
Total Deaths,FALSE,../../../covid19-data/Iceland/data/data.csv,,
Non-ICU Beds: In Use (Region 1),FALSE,../../../covid19-data/LA/data/data.csv,,
Non-ICU Beds: In Use (Region 2),FALSE,../../../covid19-data/LA/data/data.csv,,
Non-ICU Beds: In Use (Region 3),FALSE,../../../covid19-data/LA/data/data.csv,,
Non-ICU Beds: In Use (Region 4),FALSE,../../../covid19-data/LA/data/data.csv,,
Non-ICU Beds: In Use (Region 5),FALSE,../../../covid19-data/LA/data/data.csv,,
Non-ICU Beds: In Use (Region 6),FALSE,../../../covid19-data/LA/data/data.csv,,
Non-ICU Beds: In Use (Region 7),FALSE,../../../covid19-data/LA/data/data.csv,,
Non-ICU Beds: In Use (Region 8),FALSE,../../../covid19-data/LA/data/data.csv,,
Non-ICU Beds: In Use (Region 9),FALSE,../../../covid19-data/LA/data/data.csv,,
Non-ICU Beds: Available (Region 1),FALSE,../../../covid19-data/LA/data/data.csv,,
Non-ICU Beds: Available (Region 2),FALSE,../../../covid19-data/LA/data/data.csv,,
Non-ICU Beds: Available (Region 3),FALSE,../../../covid19-data/LA/data/data.csv,,
Non-ICU Beds: Available (Region 4),FALSE,../../../covid19-data/LA/data/data.csv,,
Non-ICU Beds: Available (Region 5),FALSE,../../../covid19-data/LA/data/data.csv,,
Non-ICU Beds: Available (Region 6),FALSE,../../../covid19-data/LA/data/data.csv,,
Non-ICU Beds: Available (Region 7),FALSE,../../../covid19-data/LA/data/data.csv,,
Non-ICU Beds: Available (Region 8),FALSE,../../../covid19-data/LA/data/data.csv,,
Non-ICU Beds: Available (Region 9),FALSE,../../../covid19-data/LA/data/data.csv,,
% Total Cases: Female,FALSE,../../../covid19-data/LA/data/data.csv,,
% Total Cases: Male,FALSE,../../../covid19-data/LA/data/data.csv,,
% Total Cases: Other Sex,FALSE,../../../covid19-data/LA/data/data.csv,,
# Cases Age [0-17],FALSE,../../../covid19-data/LA/data/data.csv,,
# Cases Age [18-29],FALSE,../../../covid19-data/LA/data/data.csv,,
# Cases Age [30-39],FALSE,../../../covid19-data/LA/data/data.csv,,
# Cases Age [40-49],FALSE,../../../covid19-data/LA/data/data.csv,,
# Cases Age [50-59],FALSE,../../../covid19-data/LA/data/data.csv,,
# Cases Age [60-69],FALSE,../../../covid19-data/LA/data/data.csv,,
# Cases Age [70+],FALSE,../../../covid19-data/LA/data/data.csv,,
Total Tested: Commercial Lab,FALSE,../../../covid19-data/LA/data/data.csv,,
# Deaths Age [0-17],FALSE,../../../covid19-data/LA/data/data.csv,,
# Deaths Age [18-29],FALSE,../../../covid19-data/LA/data/data.csv,,
# Deaths Age [30-39],FALSE,../../../covid19-data/LA/data/data.csv,,
# Deaths Age [40-49],FALSE,../../../covid19-data/LA/data/data.csv,,
# Deaths Age [50-59],FALSE,../../../covid19-data/LA/data/data.csv,,
# Deaths Age [60-69],FALSE,../../../covid19-data/LA/data/data.csv,,
# Deaths Age [70+],FALSE,../../../covid19-data/LA/data/data.csv,,
Total Hospitalized,FALSE,../../../covid19-data/LA/data/data.csv,,
ICU Beds: In Use (Region 1),FALSE,../../../covid19-data/LA/data/data.csv,,
ICU Beds: In Use (Region 2),FALSE,../../../covid19-data/LA/data/data.csv,,
ICU Beds: In Use (Region 3),FALSE,../../../covid19-data/LA/data/data.csv,,
ICU Beds: In Use (Region 4),FALSE,../../../covid19-data/LA/data/data.csv,,
ICU Beds: In Use (Region 5),FALSE,../../../covid19-data/LA/data/data.csv,,
ICU Beds: In Use (Region 6),FALSE,../../../covid19-data/LA/data/data.csv,,
ICU Beds: In Use (Region 7),FALSE,../../../covid19-data/LA/data/data.csv,,
ICU Beds: In Use (Region 8),FALSE,../../../covid19-data/LA/data/data.csv,,
ICU Beds: In Use (Region 9),FALSE,../../../covid19-data/LA/data/data.csv,,
ICU Beds: Available (Region 1),FALSE,../../../covid19-data/LA/data/data.csv,,
ICU Beds: Available (Region 2),FALSE,../../../covid19-data/LA/data/data.csv,,
ICU Beds: Available (Region 3),FALSE,../../../covid19-data/LA/data/data.csv,,
ICU Beds: Available (Region 4),FALSE,../../../covid19-data/LA/data/data.csv,,
ICU Beds: Available (Region 5),FALSE,../../../covid19-data/LA/data/data.csv,,
ICU Beds: Available (Region 6),FALSE,../../../covid19-data/LA/data/data.csv,,
ICU Beds: Available (Region 7),FALSE,../../../covid19-data/LA/data/data.csv,,
ICU Beds: Available (Region 8),FALSE,../../../covid19-data/LA/data/data.csv,,
ICU Beds: Available (Region 9),FALSE,../../../covid19-data/LA/data/data.csv,,
Total Cases: On Ventilator,FALSE,../../../covid19-data/LA/data/data.csv,,
Scrape Time,FALSE,../../../covid19-data/LA/data/data.csv,,
Total Tested: State Lab,FALSE,../../../covid19-data/LA/data/data.csv,,
Ventilators: In Use (Region 1),FALSE,../../../covid19-data/LA/data/data.csv,,
Ventilators: In Use (Region 2),FALSE,../../../covid19-data/LA/data/data.csv,,
Ventilators: In Use (Region 3),FALSE,../../../covid19-data/LA/data/data.csv,,
Ventilators: In Use (Region 4),FALSE,../../../covid19-data/LA/data/data.csv,,
Ventilators: In Use (Region 5),FALSE,../../../covid19-data/LA/data/data.csv,,
Ventilators: In Use (Region 6),FALSE,../../../covid19-data/LA/data/data.csv,,
Ventilators: In Use (Region 7),FALSE,../../../covid19-data/LA/data/data.csv,,
Ventilators: In Use (Region 8),FALSE,../../../covid19-data/LA/data/data.csv,,
Ventilators: In Use (Region 9),FALSE,../../../covid19-data/LA/data/data.csv,,
Ventilators: Available (Region 1),FALSE,../../../covid19-data/LA/data/data.csv,,
Ventilators: Available (Region 2),FALSE,../../../covid19-data/LA/data/data.csv,,
Ventilators: Available (Region 3),FALSE,../../../covid19-data/LA/data/data.csv,,
Ventilators: Available (Region 4),FALSE,../../../covid19-data/LA/data/data.csv,,
Ventilators: Available (Region 5),FALSE,../../../covid19-data/LA/data/data.csv,,
Ventilators: Available (Region 6),FALSE,../../../covid19-data/LA/data/data.csv,,
Ventilators: Available (Region 7),FALSE,../../../covid19-data/LA/data/data.csv,,
Ventilators: Available (Region 8),FALSE,../../../covid19-data/LA/data/data.csv,,
Ventilators: Available (Region 9),FALSE,../../../covid19-data/LA/data/data.csv,,
% Total Cases: Female,FALSE,../../../covid19-data/LA/data/dataV1.csv,,
% Total Cases: Male,FALSE,../../../covid19-data/LA/data/dataV1.csv,,
% Total Cases: Other Sex,FALSE,../../../covid19-data/LA/data/dataV1.csv,,
# Cases Age [0-17],FALSE,../../../covid19-data/LA/data/dataV1.csv,,
# Cases Age [18-29],FALSE,../../../covid19-data/LA/data/dataV1.csv,,
# Cases Age [30-39],FALSE,../../../covid19-data/LA/data/dataV1.csv,,
# Cases Age [40-49],FALSE,../../../covid19-data/LA/data/dataV1.csv,,
# Cases Age [50-59],FALSE,../../../covid19-data/LA/data/dataV1.csv,,
# Cases Age [60-69],FALSE,../../../covid19-data/LA/data/dataV1.csv,,
# Cases Age [70+],FALSE,../../../covid19-data/LA/data/dataV1.csv,,
Total Tested: Commercial Lab,FALSE,../../../covid19-data/LA/data/dataV1.csv,,
# Deaths Age [0-17],FALSE,../../../covid19-data/LA/data/dataV1.csv,,
# Deaths Age [18-29],FALSE,../../../covid19-data/LA/data/dataV1.csv,,
# Deaths Age [30-39],FALSE,../../../covid19-data/LA/data/dataV1.csv,,
# Deaths Age [40-49],FALSE,../../../covid19-data/LA/data/dataV1.csv,,
# Deaths Age [50-59],FALSE,../../../covid19-data/LA/data/dataV1.csv,,
# Deaths Age [60-69],FALSE,../../../covid19-data/LA/data/dataV1.csv,,
# Deaths Age [70+],FALSE,../../../covid19-data/LA/data/dataV1.csv,,
Total Hospitalized,FALSE,../../../covid19-data/LA/data/dataV1.csv,,
Total Cases: On Ventilator,FALSE,../../../covid19-data/LA/data/dataV1.csv,,
Scrape Time,FALSE,../../../covid19-data/LA/data/dataV1.csv,,
Total Tested: State Lab,FALSE,../../../covid19-data/LA/data/dataV1.csv,,
# Cases Age [0-19],FALSE,../../../covid19-data/MA/data/data.csv,,
# Cases Age [20-29],FALSE,../../../covid19-data/MA/data/data.csv,,
# Cases Age [30-39],FALSE,../../../covid19-data/MA/data/data.csv,,
# Cases Age [40-49],FALSE,../../../covid19-data/MA/data/data.csv,,
# Cases Age [50-59],FALSE,../../../covid19-data/MA/data/data.csv,,
# Cases Age [60-69],FALSE,../../../covid19-data/MA/data/data.csv,,
# Cases Age [70-79],FALSE,../../../covid19-data/MA/data/data.csv,,
# Cases Age [80+],FALSE,../../../covid19-data/MA/data/data.csv,,
# Cases Age [Unknown],FALSE,../../../covid19-data/MA/data/data.csv,,
Total Cases: Female,FALSE,../../../covid19-data/MA/data/data.csv,,
Total Cases: Male,FALSE,../../../covid19-data/MA/data/data.csv,,
Total Cases: Unknown Sex,FALSE,../../../covid19-data/MA/data/data.csv,,
Report Date,FALSE,../../../covid19-data/MA/data/data.csv,,
# Cases Quarantined: Complete,FALSE,../../../covid19-data/MA/data/data.csv,,
# Cases Quarantined: Current,FALSE,../../../covid19-data/MA/data/data.csv,,
# Cases Quarantined: Ever,FALSE,../../../covid19-data/MA/data/data.csv,,
Quarantine Report Date,FALSE,../../../covid19-data/MA/data/data.csv,,
Scrape Time,FALSE,../../../covid19-data/MA/data/data.csv,,
# Cases Age [0-19],FALSE,../../../covid19-data/MA/data/dataV1.csv,,
# Cases Age [20-29],FALSE,../../../covid19-data/MA/data/dataV1.csv,,
# Cases Age [30-39],FALSE,../../../covid19-data/MA/data/dataV1.csv,,
# Cases Age [40-49],FALSE,../../../covid19-data/MA/data/dataV1.csv,,
# Cases Age [50-59],FALSE,../../../covid19-data/MA/data/dataV1.csv,,
# Cases Age [60-69],FALSE,../../../covid19-data/MA/data/dataV1.csv,,
# Cases Age [70+],FALSE,../../../covid19-data/MA/data/dataV1.csv,,
# Cases Age [Unknown],FALSE,../../../covid19-data/MA/data/dataV1.csv,,
Total Cases: Female,FALSE,../../../covid19-data/MA/data/dataV1.csv,,
Total Cases: Male,FALSE,../../../covid19-data/MA/data/dataV1.csv,,
Total Cases: Unknown Sex,FALSE,../../../covid19-data/MA/data/dataV1.csv,,
Report Date,FALSE,../../../covid19-data/MA/data/dataV1.csv,,
# Cases Quarantined: Complete,FALSE,../../../covid19-data/MA/data/dataV1.csv,,
# Cases Quarantined: Current,FALSE,../../../covid19-data/MA/data/dataV1.csv,,
# Cases Quarantined: Ever,FALSE,../../../covid19-data/MA/data/dataV1.csv,,
Quarantine Report Date,FALSE,../../../covid19-data/MA/data/dataV1.csv,,
Scrape Time,FALSE,../../../covid19-data/MA/data/dataV1.csv,,
# Cases Age [0-19],FALSE,../../../covid19-data/MA/data/dataV2.csv,,
# Cases Age [20-29],FALSE,../../../covid19-data/MA/data/dataV2.csv,,
# Cases Age [30-39],FALSE,../../../covid19-data/MA/data/dataV2.csv,,
# Cases Age [40-49],FALSE,../../../covid19-data/MA/data/dataV2.csv,,
# Cases Age [50-59],FALSE,../../../covid19-data/MA/data/dataV2.csv,,
# Cases Age [60-69],FALSE,../../../covid19-data/MA/data/dataV2.csv,,
# Cases Age [70-79],FALSE,../../../covid19-data/MA/data/dataV2.csv,,
# Cases Age [80+],FALSE,../../../covid19-data/MA/data/dataV2.csv,,
Total Cases: Female,FALSE,../../../covid19-data/MA/data/dataV2.csv,,
Total Cases: Male,FALSE,../../../covid19-data/MA/data/dataV2.csv,,
Total Cases: Unknown Sex,FALSE,../../../covid19-data/MA/data/dataV2.csv,,
Report Date,FALSE,../../../covid19-data/MA/data/dataV2.csv,,
# Cases Quarantined: Complete,FALSE,../../../covid19-data/MA/data/dataV2.csv,,
# Cases Quarantined: Current,FALSE,../../../covid19-data/MA/data/dataV2.csv,,
# Cases Quarantined: Ever,FALSE,../../../covid19-data/MA/data/dataV2.csv,,
Quarantine Report Date,FALSE,../../../covid19-data/MA/data/dataV2.csv,,
Scrape Time,FALSE,../../../covid19-data/MA/data/dataV2.csv,,
State Name,FALSE,../../../covid19-data/MD/data/data.csv,,
State,FALSE,../../../covid19-data/MD/data/data.csv,,
Report Date,FALSE,../../../covid19-data/MD/data/data.csv,,
Total Cases,FALSE,../../../covid19-data/MD/data/data.csv,,
Total Tested,FALSE,../../../covid19-data/MD/data/data.csv,,
Total Hospitalized,FALSE,../../../covid19-data/MD/data/data.csv,,
Total Deaths,FALSE,../../../covid19-data/MD/data/data.csv,,
# Cases Age [0-9],FALSE,../../../covid19-data/MD/data/data.csv,,
# Cases Age [10-19],FALSE,../../../covid19-data/MD/data/data.csv,,
# Cases Age [20-29],FALSE,../../../covid19-data/MD/data/data.csv,,
# Cases Age [30-39],FALSE,../../../covid19-data/MD/data/data.csv,,
# Cases Age [40-49],FALSE,../../../covid19-data/MD/data/data.csv,,
# Cases Age [50-59],FALSE,../../../covid19-data/MD/data/data.csv,,
# Cases Age [60-69],FALSE,../../../covid19-data/MD/data/data.csv,,
# Cases Age [70-79],FALSE,../../../covid19-data/MD/data/data.csv,,
# Cases Age [80+],FALSE,../../../covid19-data/MD/data/data.csv,,
# Cases Age [Unknown],TRUE,../../../covid19-data/MD/data/data.csv,No,Unavailable raw data
# Deaths Age [0-9],TRUE,../../../covid19-data/MD/data/data.csv,No,Unavailable raw data
# Deaths Age [10-19],TRUE,../../../covid19-data/MD/data/data.csv,No,Unavailable raw data
# Deaths Age [20-29],TRUE,../../../covid19-data/MD/data/data.csv,No,Unavailable raw data
# Deaths Age [30-39],TRUE,../../../covid19-data/MD/data/data.csv,No,Unavailable raw data
# Deaths Age [40-49],TRUE,../../../covid19-data/MD/data/data.csv,No,Unavailable raw data
# Deaths Age [50-59],TRUE,../../../covid19-data/MD/data/data.csv,No,Unavailable raw data
# Deaths Age [60-69],TRUE,../../../covid19-data/MD/data/data.csv,No,Unavailable raw data
# Deaths Age [70-79],TRUE,../../../covid19-data/MD/data/data.csv,No,Unavailable raw data
# Deaths Age [80+],TRUE,../../../covid19-data/MD/data/data.csv,No,Unavailable raw data
# Deaths Age [Unknown],TRUE,../../../covid19-data/MD/data/data.csv,No,Unavailable raw data
Total Cases: Female,FALSE,../../../covid19-data/MD/data/data.csv,,
Total Cases: Male,FALSE,../../../covid19-data/MD/data/data.csv,,
Total Deaths: Female,TRUE,../../../covid19-data/MD/data/data.csv,No,Unavailable raw data
Total Deaths: Male,TRUE,../../../covid19-data/MD/data/data.csv,No,Unavailable raw data
# Cases Race/Ethnicity: African-American,TRUE,../../../covid19-data/MD/data/data.csv,No,Unavailable raw data
# Cases Race/Ethnicity: Asian,TRUE,../../../covid19-data/MD/data/data.csv,No,Unavailable raw data
# Cases Race/Ethnicity: White,TRUE,../../../covid19-data/MD/data/data.csv,No,Unavailable raw data
# Cases Race/Ethnicity: Hispanic,TRUE,../../../covid19-data/MD/data/data.csv,No,Unavailable raw data
# Cases Race/Ethnicity: Other,TRUE,../../../covid19-data/MD/data/data.csv,No,Unavailable raw data
# Cases Race/Ethnicity: Unknown,TRUE,../../../covid19-data/MD/data/data.csv,No,Unavailable raw data
# Deaths Race/Ethnicity: African-American,TRUE,../../../covid19-data/MD/data/data.csv,No,Unavailable raw data
# Deaths Race/Ethnicity: Asian,TRUE,../../../covid19-data/MD/data/data.csv,No,Unavailable raw data
# Deaths Race/Ethnicity: White,TRUE,../../../covid19-data/MD/data/data.csv,No,Unavailable raw data
# Deaths Race/Ethnicity: Hispanic,TRUE,../../../covid19-data/MD/data/data.csv,No,Unavailable raw data
# Deaths Race/Ethnicity: Other,TRUE,../../../covid19-data/MD/data/data.csv,No,Unavailable raw data
# Deaths Race/Ethnicity: Unknown,TRUE,../../../covid19-data/MD/data/data.csv,No,Unavailable raw data
Scrape Time,FALSE,../../../covid19-data/MD/data/data.csv,,
# Cases Age [0-19],FALSE,../../../covid19-data/ME/data/data.csv,,
# Cases Age [20-29],FALSE,../../../covid19-data/ME/data/data.csv,,
# Cases Age [30-39],FALSE,../../../covid19-data/ME/data/data.csv,,
# Cases Age [40-49],FALSE,../../../covid19-data/ME/data/data.csv,,
# Cases Age [50-59],FALSE,../../../covid19-data/ME/data/data.csv,,
# Cases Age [60-69],FALSE,../../../covid19-data/ME/data/data.csv,,
# Cases Age [70-79],FALSE,../../../covid19-data/ME/data/data.csv,,
# Cases Age [80+],FALSE,../../../covid19-data/ME/data/data.csv,,
% Total Cases: Female,FALSE,../../../covid19-data/ME/data/data.csv,,
% Total Cases: Male,FALSE,../../../covid19-data/ME/data/data.csv,,
Scrape Time,FALSE,../../../covid19-data/ME/data/data.csv,,
State Name,FALSE,../../../covid19-data/MI/data/data.csv,,
State,FALSE,../../../covid19-data/MI/data/data.csv,,
Report Date,FALSE,../../../covid19-data/MI/data/data.csv,,
Total Cases,FALSE,../../../covid19-data/MI/data/data.csv,,
Total Deaths,FALSE,../../../covid19-data/MI/data/data.csv,,
# Cases Age [0-19],FALSE,../../../covid19-data/MI/data/data.csv,,
# Cases Age [20-29],FALSE,../../../covid19-data/MI/data/data.csv,,
# Cases Age [30-39],FALSE,../../../covid19-data/MI/data/data.csv,,
# Cases Age [40-49],FALSE,../../../covid19-data/MI/data/data.csv,,
# Cases Age [50-59],FALSE,../../../covid19-data/MI/data/data.csv,,
# Cases Age [60-69],FALSE,../../../covid19-data/MI/data/data.csv,,
# Cases Age [70-79],FALSE,../../../covid19-data/MI/data/data.csv,,
# Cases Age [80+],FALSE,../../../covid19-data/MI/data/data.csv,,
# Cases Age [Unknown],TRUE,../../../covid19-data/MI/data/data.csv,No,Unavailable raw data
Total Cases: Male,FALSE,../../../covid19-data/MI/data/data.csv,,
Total Cases: Female,FALSE,../../../covid19-data/MI/data/data.csv,,
Total Cases: Unknown Sex,TRUE,../../../covid19-data/MI/data/data.csv,No,Unavailable raw data
# Cases Race/Ethnicity: American Indian/Alaska Native,TRUE,../../../covid19-data/MI/data/data.csv,No,Unavailable raw data
# Cases Race/Ethnicity: Asian/Pacific Islander,TRUE,../../../covid19-data/MI/data/data.csv,No,Unavailable raw data
# Cases Race/Ethnicity: Black or African American,TRUE,../../../covid19-data/MI/data/data.csv,No,Unavailable raw data
# Cases Race/Ethnicity: White,TRUE,../../../covid19-data/MI/data/data.csv,No,Unavailable raw data
# Cases Race/Ethnicity: Multiple Races,TRUE,../../../covid19-data/MI/data/data.csv,No,Unavailable raw data
# Cases Race/Ethnicity: Other,TRUE,../../../covid19-data/MI/data/data.csv,No,Unavailable raw data
# Cases Race/Ethnicity: Unknown,TRUE,../../../covid19-data/MI/data/data.csv,No,Unavailable raw data
# Deaths Race/Ethnicity: American Indian or Alaska Native,TRUE,../../../covid19-data/MI/data/data.csv,No,Unavailable raw data
# Deaths Race/Ethnicity: Asian/Pacific Islander,TRUE,../../../covid19-data/MI/data/data.csv,No,Unavailable raw data
# Deaths Race/Ethnicity: Black or African American,TRUE,../../../covid19-data/MI/data/data.csv,No,Unavailable raw data
# Deaths Race/Ethnicity: Caucasian,TRUE,../../../covid19-data/MI/data/data.csv,No,Unavailable raw data
# Deaths Race/Ethnicity: Multiple Races,TRUE,../../../covid19-data/MI/data/data.csv,No,Unavailable raw data
# Deaths Race/Ethnicity: Other,TRUE,../../../covid19-data/MI/data/data.csv,No,Unavailable raw data
# Deaths Race/Ethnicity: Unknown,TRUE,../../../covid19-data/MI/data/data.csv,No,Unavailable raw data
# Cases Race/Ethnicity: Hispanic/Latino,TRUE,../../../covid19-data/MI/data/data.csv,No,Unavailable raw data
# Cases Race/Ethnicity: Non-Hispanic/Latino,TRUE,../../../covid19-data/MI/data/data.csv,No,Unavailable raw data
# Cases Race/ Ethnicity: Unknown,TRUE,../../../covid19-data/MI/data/data.csv,No,Unavailable raw data
# Deaths Race/Ethnicity: Hispanic/Latino,TRUE,../../../covid19-data/MI/data/data.csv,No,Unavailable raw data
# Deaths Race/Ethnicity: Non-Hispanic Latino,TRUE,../../../covid19-data/MI/data/data.csv,No,Unavailable raw data
# Deaths Race/Ethnicity: Unknown,TRUE,../../../covid19-data/MI/data/data.csv,No,Unavailable raw data
Scrape Time,FALSE,../../../covid19-data/MI/data/data.csv,,
State Name,FALSE,../../../covid19-data/MN/data/data.csv,,
State,FALSE,../../../covid19-data/MN/data/data.csv,,
Report Date,FALSE,../../../covid19-data/MN/data/data.csv,,
Total Cases,FALSE,../../../covid19-data/MN/data/data.csv,,
Total Tested,FALSE,../../../covid19-data/MN/data/data.csv,,
Total Deaths,FALSE,../../../covid19-data/MN/data/data.csv,,
Total Hospitalized,FALSE,../../../covid19-data/MN/data/data.csv,,
Total Cases: Female,FALSE,../../../covid19-data/MN/data/data.csv,,
Total Cases: Female,FALSE,../../../covid19-data/MN/data/data.csv,,
Total Cases: Other Sex,FALSE,../../../covid19-data/MN/data/data.csv,,
# Cases Age [0-5],FALSE,../../../covid19-data/MN/data/data.csv,,
# Cases Age [6-19],FALSE,../../../covid19-data/MN/data/data.csv,,
# Cases Age [20-44],TRUE,../../../covid19-data/MN/data/data.csv,No,Unavailable raw data
# Cases Age [45-64],TRUE,../../../covid19-data/MN/data/data.csv,No,Unavailable raw data
# Cases Age [65+],TRUE,../../../covid19-data/MN/data/data.csv,No,Unavailable raw data
# Cases Race/Ethnicity: White,FALSE,../../../covid19-data/MN/data/data.csv,,
# Cases Race/Ethnicity: Black,FALSE,../../../covid19-data/MN/data/data.csv,,
# Cases Race/Ethnicity: Asian,FALSE,../../../covid19-data/MN/data/data.csv,,
# Cases Race/Ethnicity: Native Hawaiian/ Pacific Islander,FALSE,../../../covid19-data/MN/data/data.csv,,
# Cases Race/Ethnicity: American Indian/Alaska Native,FALSE,../../../covid19-data/MN/data/data.csv,,
