,0,File
% Deaths Race/Ethnicity: Non-Hispanic,False,../../../covid19-data/ID/data/data_V5.csv
% Deaths Race/Ethnicity: Asian,True,../../../covid19-data/ID/data/data_V5.csv
% Deaths Race/Ethnicity: White,False,../../../covid19-data/ID/data/data_V5.csv
ICU Admissions,False,../../../covid19-data/ID/data/data_V5.csv
% Cases Age [0-17],False,../../../covid19-data/ID/data/data_V5.csv
% Cases Age [18-29],False,../../../covid19-data/ID/data/data_V5.csv
% Cases Age [30-39],False,../../../covid19-data/ID/data/data_V5.csv
% Cases Age [40-49],False,../../../covid19-data/ID/data/data_V5.csv
% Cases Age [50-59],False,../../../covid19-data/ID/data/data_V5.csv
% Cases Age [60-69],False,../../../covid19-data/ID/data/data_V5.csv
% Cases Age [70-79],False,../../../covid19-data/ID/data/data_V5.csv
% Cases Age [80+],False,../../../covid19-data/ID/data/data_V5.csv
% Total Cases: Female,False,../../../covid19-data/ID/data/data_V5.csv
% Total Cases: Male,False,../../../covid19-data/ID/data/data_V5.csv
Scrape Time,False,../../../covid19-data/ID/data/data_V5.csv
Total Tested: Commercial Lab,True,../../../covid19-data/ID/data/data_V5.csv
Total Tested: State Lab,True,../../../covid19-data/ID/data/data_V5.csv
Total Cases,False,../../../covid19-data/ID/data/data_V5.csv
Total Deaths,True,../../../covid19-data/ID/data/data_V5.csv
Total Hospitalized,False,../../../covid19-data/ID/data/data_V5.csv
Total Tested,True,../../../covid19-data/ID/data/data_V5.csv
Report Date,False,../../../covid19-data/ID/data/data_V5.csv
State Name,False,../../../covid19-data/IL/data/data.csv
State,False,../../../covid19-data/IL/data/data.csv
Report Date,False,../../../covid19-data/IL/data/data.csv
Total Tested,False,../../../covid19-data/IL/data/data.csv
Total Cases,False,../../../covid19-data/IL/data/data.csv
Total Deaths,False,../../../covid19-data/IL/data/data.csv
Total Cases: Male,False,../../../covid19-data/IL/data/data.csv
Total Cases: Female,False,../../../covid19-data/IL/data/data.csv
Total Cases: Unknown Sex,False,../../../covid19-data/IL/data/data.csv
Total Deaths: Male,False,../../../covid19-data/IL/data/data.csv
Total Deaths: Female,False,../../../covid19-data/IL/data/data.csv
Total Deaths: Unknown Sex,False,../../../covid19-data/IL/data/data.csv
# Cases Age [Unknown],False,../../../covid19-data/IL/data/data.csv
# Cases Age [0-20],False,../../../covid19-data/IL/data/data.csv
# Cases Age [20-29],False,../../../covid19-data/IL/data/data.csv
# Cases Age [30-39],False,../../../covid19-data/IL/data/data.csv
# Cases Age [40-49],False,../../../covid19-data/IL/data/data.csv
# Cases Age [50-59],False,../../../covid19-data/IL/data/data.csv
# Cases Age [60-69],False,../../../covid19-data/IL/data/data.csv
# Cases Age [70-79],False,../../../covid19-data/IL/data/data.csv
# Cases Age [80+],False,../../../covid19-data/IL/data/data.csv
# Deaths Age [Unknown],False,../../../covid19-data/IL/data/data.csv
# Deaths Age [0-20],False,../../../covid19-data/IL/data/data.csv
# Deaths Age [20-29],False,../../../covid19-data/IL/data/data.csv
# Deaths Age [30-39],False,../../../covid19-data/IL/data/data.csv
# Deaths Age [40-49],False,../../../covid19-data/IL/data/data.csv
# Deaths Age [50-59],False,../../../covid19-data/IL/data/data.csv
# Deaths Age [60-69],False,../../../covid19-data/IL/data/data.csv
# Deaths Age [70-79],False,../../../covid19-data/IL/data/data.csv
# Deaths Age [80+],False,../../../covid19-data/IL/data/data.csv
# Cases Race/Ethnicity: White,False,../../../covid19-data/IL/data/data.csv
# Cases Race/Ethnicity: Black,False,../../../covid19-data/IL/data/data.csv
# Cases Race/Ethnicity: Unknown,False,../../../covid19-data/IL/data/data.csv
# Cases Race/Ethnicity: Other,False,../../../covid19-data/IL/data/data.csv
# Cases Race/Ethnicity: Asian,False,../../../covid19-data/IL/data/data.csv
# Cases Race/Ethnicity: Hispanic,False,../../../covid19-data/IL/data/data.csv
# Cases Race/Ethnicity: NH/PI*,False,../../../covid19-data/IL/data/data.csv
# Cases Race/Ethnicity: AI/AN**,False,../../../covid19-data/IL/data/data.csv
# Deaths Race/Ethnicity: White,False,../../../covid19-data/IL/data/data.csv
# Deaths Race/Ethnicity: Black,False,../../../covid19-data/IL/data/data.csv
# Deaths Race/Ethnicity: Unknown,False,../../../covid19-data/IL/data/data.csv
# Deaths Race/Ethnicity: Other,False,../../../covid19-data/IL/data/data.csv
# Deaths Race/Ethnicity: Asian,False,../../../covid19-data/IL/data/data.csv
# Deaths Race/Ethnicity: Hispanic,False,../../../covid19-data/IL/data/data.csv
# Deaths Race/Ethnicity: NH/PI*,False,../../../covid19-data/IL/data/data.csv
# Deaths Race/Ethnicity: AI/AN**,False,../../../covid19-data/IL/data/data.csv
Scrape Time,False,../../../covid19-data/IL/data/data.csv
% Cases Age [0-19],False,../../../covid19-data/IN/data/data.csv
% Cases Age [20-29],False,../../../covid19-data/IN/data/data.csv
% Cases Age [30-39],False,../../../covid19-data/IN/data/data.csv
% Cases Age [40-49],False,../../../covid19-data/IN/data/data.csv
% Cases Age [50-59],False,../../../covid19-data/IN/data/data.csv
% Cases Age [60-69],False,../../../covid19-data/IN/data/data.csv
% Cases Age [70-79],False,../../../covid19-data/IN/data/data.csv
% Cases Age [80+],False,../../../covid19-data/IN/data/data.csv
% Total Cases: Female,False,../../../covid19-data/IN/data/data.csv
% Total Cases: Male,False,../../../covid19-data/IN/data/data.csv
% Deaths Age [0-19],False,../../../covid19-data/IN/data/data.csv
% Deaths Age [20-29],False,../../../covid19-data/IN/data/data.csv
% Deaths Age [30-39],False,../../../covid19-data/IN/data/data.csv
% Deaths Age [40-49],False,../../../covid19-data/IN/data/data.csv
% Deaths Age [50-59],False,../../../covid19-data/IN/data/data.csv
% Deaths Age [60-69],False,../../../covid19-data/IN/data/data.csv
% Deaths Age [70-79],False,../../../covid19-data/IN/data/data.csv
% Deaths Age [80+],False,../../../covid19-data/IN/data/data.csv
% Deaths: Female,False,../../../covid19-data/IN/data/data.csv
% Deaths: Male,False,../../../covid19-data/IN/data/data.csv
Scrape Time,False,../../../covid19-data/IN/data/data.csv
% Cases Age [0-19],False,../../../covid19-data/IN/data/dataV1.csv
% Cases Age [20-29],False,../../../covid19-data/IN/data/dataV1.csv
% Cases Age [30-39],False,../../../covid19-data/IN/data/dataV1.csv
% Cases Age [40-49],False,../../../covid19-data/IN/data/dataV1.csv
% Cases Age [50-59],False,../../../covid19-data/IN/data/dataV1.csv
% Cases Age [60-69],False,../../../covid19-data/IN/data/dataV1.csv
% Cases Age [70-79],False,../../../covid19-data/IN/data/dataV1.csv
% Cases Age [80+],False,../../../covid19-data/IN/data/dataV1.csv
% Total Cases: Female,False,../../../covid19-data/IN/data/dataV1.csv
% Total Cases: Male,False,../../../covid19-data/IN/data/dataV1.csv
Scrape Time,False,../../../covid19-data/IN/data/dataV1.csv
Report Date,False,../../../covid19-data/Iceland/data/data.csv
Total Cases,False,../../../covid19-data/Iceland/data/data.csv
Total Active Cases,False,../../../covid19-data/Iceland/data/data.csv
Total Deaths,False,../../../covid19-data/Iceland/data/data.csv
Non-ICU Beds: In Use (Region 1),False,../../../covid19-data/LA/data/data.csv
Non-ICU Beds: In Use (Region 2),False,../../../covid19-data/LA/data/data.csv
Non-ICU Beds: In Use (Region 3),False,../../../covid19-data/LA/data/data.csv
Non-ICU Beds: In Use (Region 4),False,../../../covid19-data/LA/data/data.csv
Non-ICU Beds: In Use (Region 5),False,../../../covid19-data/LA/data/data.csv
Non-ICU Beds: In Use (Region 6),False,../../../covid19-data/LA/data/data.csv
Non-ICU Beds: In Use (Region 7),False,../../../covid19-data/LA/data/data.csv
Non-ICU Beds: In Use (Region 8),False,../../../covid19-data/LA/data/data.csv
Non-ICU Beds: In Use (Region 9),False,../../../covid19-data/LA/data/data.csv
Non-ICU Beds: Available (Region 1),False,../../../covid19-data/LA/data/data.csv
Non-ICU Beds: Available (Region 2),False,../../../covid19-data/LA/data/data.csv
Non-ICU Beds: Available (Region 3),False,../../../covid19-data/LA/data/data.csv
Non-ICU Beds: Available (Region 4),False,../../../covid19-data/LA/data/data.csv
Non-ICU Beds: Available (Region 5),False,../../../covid19-data/LA/data/data.csv
Non-ICU Beds: Available (Region 6),False,../../../covid19-data/LA/data/data.csv
Non-ICU Beds: Available (Region 7),False,../../../covid19-data/LA/data/data.csv
Non-ICU Beds: Available (Region 8),False,../../../covid19-data/LA/data/data.csv
Non-ICU Beds: Available (Region 9),False,../../../covid19-data/LA/data/data.csv
% Total Cases: Female,False,../../../covid19-data/LA/data/data.csv
% Total Cases: Male,False,../../../covid19-data/LA/data/data.csv
% Total Cases: Other Sex,False,../../../covid19-data/LA/data/data.csv
# Cases Age [0-17],False,../../../covid19-data/LA/data/data.csv
# Cases Age [18-29],False,../../../covid19-data/LA/data/data.csv
# Cases Age [30-39],False,../../../covid19-data/LA/data/data.csv
# Cases Age [40-49],False,../../../covid19-data/LA/data/data.csv
# Cases Age [50-59],False,../../../covid19-data/LA/data/data.csv
# Cases Age [60-69],False,../../../covid19-data/LA/data/data.csv
# Cases Age [70+],False,../../../covid19-data/LA/data/data.csv
Total Tested: Commercial Lab,False,../../../covid19-data/LA/data/data.csv
# Deaths Age [0-17],False,../../../covid19-data/LA/data/data.csv
# Deaths Age [18-29],False,../../../covid19-data/LA/data/data.csv
# Deaths Age [30-39],False,../../../covid19-data/LA/data/data.csv
# Deaths Age [40-49],False,../../../covid19-data/LA/data/data.csv
# Deaths Age [50-59],False,../../../covid19-data/LA/data/data.csv
# Deaths Age [60-69],False,../../../covid19-data/LA/data/data.csv
# Deaths Age [70+],False,../../../covid19-data/LA/data/data.csv
Total Hospitalized,False,../../../covid19-data/LA/data/data.csv
ICU Beds: In Use (Region 1),False,../../../covid19-data/LA/data/data.csv
ICU Beds: In Use (Region 2),False,../../../covid19-data/LA/data/data.csv
ICU Beds: In Use (Region 3),False,../../../covid19-data/LA/data/data.csv
ICU Beds: In Use (Region 4),False,../../../covid19-data/LA/data/data.csv
ICU Beds: In Use (Region 5),False,../../../covid19-data/LA/data/data.csv
ICU Beds: In Use (Region 6),False,../../../covid19-data/LA/data/data.csv
ICU Beds: In Use (Region 7),False,../../../covid19-data/LA/data/data.csv
ICU Beds: In Use (Region 8),False,../../../covid19-data/LA/data/data.csv
ICU Beds: In Use (Region 9),False,../../../covid19-data/LA/data/data.csv
ICU Beds: Available (Region 1),False,../../../covid19-data/LA/data/data.csv
ICU Beds: Available (Region 2),False,../../../covid19-data/LA/data/data.csv
ICU Beds: Available (Region 3),False,../../../covid19-data/LA/data/data.csv
ICU Beds: Available (Region 4),False,../../../covid19-data/LA/data/data.csv
ICU Beds: Available (Region 5),False,../../../covid19-data/LA/data/data.csv
ICU Beds: Available (Region 6),False,../../../covid19-data/LA/data/data.csv
ICU Beds: Available (Region 7),False,../../../covid19-data/LA/data/data.csv
ICU Beds: Available (Region 8),False,../../../covid19-data/LA/data/data.csv
ICU Beds: Available (Region 9),False,../../../covid19-data/LA/data/data.csv
Total Cases: On Ventilator,False,../../../covid19-data/LA/data/data.csv
Scrape Time,False,../../../covid19-data/LA/data/data.csv
Total Tested: State Lab,False,../../../covid19-data/LA/data/data.csv
Ventilators: In Use (Region 1),False,../../../covid19-data/LA/data/data.csv
Ventilators: In Use (Region 2),False,../../../covid19-data/LA/data/data.csv
Ventilators: In Use (Region 3),False,../../../covid19-data/LA/data/data.csv
Ventilators: In Use (Region 4),False,../../../covid19-data/LA/data/data.csv
Ventilators: In Use (Region 5),False,../../../covid19-data/LA/data/data.csv
Ventilators: In Use (Region 6),False,../../../covid19-data/LA/data/data.csv
Ventilators: In Use (Region 7),False,../../../covid19-data/LA/data/data.csv
Ventilators: In Use (Region 8),False,../../../covid19-data/LA/data/data.csv
Ventilators: In Use (Region 9),False,../../../covid19-data/LA/data/data.csv
Ventilators: Available (Region 1),False,../../../covid19-data/LA/data/data.csv
Ventilators: Available (Region 2),False,../../../covid19-data/LA/data/data.csv
Ventilators: Available (Region 3),False,../../../covid19-data/LA/data/data.csv
Ventilators: Available (Region 4),False,../../../covid19-data/LA/data/data.csv
Ventilators: Available (Region 5),False,../../../covid19-data/LA/data/data.csv
Ventilators: Available (Region 6),False,../../../covid19-data/LA/data/data.csv
Ventilators: Available (Region 7),False,../../../covid19-data/LA/data/data.csv
Ventilators: Available (Region 8),False,../../../covid19-data/LA/data/data.csv
Ventilators: Available (Region 9),False,../../../covid19-data/LA/data/data.csv
% Total Cases: Female,False,../../../covid19-data/LA/data/dataV1.csv
% Total Cases: Male,False,../../../covid19-data/LA/data/dataV1.csv
% Total Cases: Other Sex,False,../../../covid19-data/LA/data/dataV1.csv
# Cases Age [0-17],False,../../../covid19-data/LA/data/dataV1.csv
# Cases Age [18-29],False,../../../covid19-data/LA/data/dataV1.csv
# Cases Age [30-39],False,../../../covid19-data/LA/data/dataV1.csv
# Cases Age [40-49],False,../../../covid19-data/LA/data/dataV1.csv
# Cases Age [50-59],False,../../../covid19-data/LA/data/dataV1.csv
# Cases Age [60-69],False,../../../covid19-data/LA/data/dataV1.csv
# Cases Age [70+],False,../../../covid19-data/LA/data/dataV1.csv
Total Tested: Commercial Lab,False,../../../covid19-data/LA/data/dataV1.csv
# Deaths Age [0-17],False,../../../covid19-data/LA/data/dataV1.csv
# Deaths Age [18-29],False,../../../covid19-data/LA/data/dataV1.csv
# Deaths Age [30-39],False,../../../covid19-data/LA/data/dataV1.csv
# Deaths Age [40-49],False,../../../covid19-data/LA/data/dataV1.csv
# Deaths Age [50-59],False,../../../covid19-data/LA/data/dataV1.csv
# Deaths Age [60-69],False,../../../covid19-data/LA/data/dataV1.csv
# Deaths Age [70+],False,../../../covid19-data/LA/data/dataV1.csv
Total Hospitalized,False,../../../covid19-data/LA/data/dataV1.csv
Total Cases: On Ventilator,False,../../../covid19-data/LA/data/dataV1.csv
Scrape Time,False,../../../covid19-data/LA/data/dataV1.csv
Total Tested: State Lab,False,../../../covid19-data/LA/data/dataV1.csv
# Cases Age [0-19],False,../../../covid19-data/MA/data/data.csv
# Cases Age [20-29],False,../../../covid19-data/MA/data/data.csv
# Cases Age [30-39],False,../../../covid19-data/MA/data/data.csv
# Cases Age [40-49],False,../../../covid19-data/MA/data/data.csv
# Cases Age [50-59],False,../../../covid19-data/MA/data/data.csv
# Cases Age [60-69],False,../../../covid19-data/MA/data/data.csv
# Cases Age [70-79],False,../../../covid19-data/MA/data/data.csv
# Cases Age [80+],False,../../../covid19-data/MA/data/data.csv
# Cases Age [Unknown],False,../../../covid19-data/MA/data/data.csv
Total Cases: Female,False,../../../covid19-data/MA/data/data.csv
Total Cases: Male,False,../../../covid19-data/MA/data/data.csv
Total Cases: Unknown Sex,False,../../../covid19-data/MA/data/data.csv
Report Date,False,../../../covid19-data/MA/data/data.csv
# Cases Quarantined: Complete,False,../../../covid19-data/MA/data/data.csv
# Cases Quarantined: Current,False,../../../covid19-data/MA/data/data.csv
# Cases Quarantined: Ever,False,../../../covid19-data/MA/data/data.csv
Quarantine Report Date,False,../../../covid19-data/MA/data/data.csv
Scrape Time,False,../../../covid19-data/MA/data/data.csv
# Cases Age [0-19],False,../../../covid19-data/MA/data/dataV1.csv
# Cases Age [20-29],False,../../../covid19-data/MA/data/dataV1.csv
# Cases Age [30-39],False,../../../covid19-data/MA/data/dataV1.csv
# Cases Age [40-49],False,../../../covid19-data/MA/data/dataV1.csv
# Cases Age [50-59],False,../../../covid19-data/MA/data/dataV1.csv
# Cases Age [60-69],False,../../../covid19-data/MA/data/dataV1.csv
# Cases Age [70+],False,../../../covid19-data/MA/data/dataV1.csv
# Cases Age [Unknown],False,../../../covid19-data/MA/data/dataV1.csv
Total Cases: Female,False,../../../covid19-data/MA/data/dataV1.csv
Total Cases: Male,False,../../../covid19-data/MA/data/dataV1.csv
Total Cases: Unknown Sex,False,../../../covid19-data/MA/data/dataV1.csv
Report Date,False,../../../covid19-data/MA/data/dataV1.csv
# Cases Quarantined: Complete,False,../../../covid19-data/MA/data/dataV1.csv
# Cases Quarantined: Current,False,../../../covid19-data/MA/data/dataV1.csv
# Cases Quarantined: Ever,False,../../../covid19-data/MA/data/dataV1.csv
Quarantine Report Date,False,../../../covid19-data/MA/data/dataV1.csv
Scrape Time,False,../../../covid19-data/MA/data/dataV1.csv
# Cases Age [0-19],False,../../../covid19-data/MA/data/dataV2.csv
# Cases Age [20-29],False,../../../covid19-data/MA/data/dataV2.csv
# Cases Age [30-39],False,../../../covid19-data/MA/data/dataV2.csv
# Cases Age [40-49],False,../../../covid19-data/MA/data/dataV2.csv
# Cases Age [50-59],False,../../../covid19-data/MA/data/dataV2.csv
# Cases Age [60-69],False,../../../covid19-data/MA/data/dataV2.csv
# Cases Age [70-79],False,../../../covid19-data/MA/data/dataV2.csv
# Cases Age [80+],False,../../../covid19-data/MA/data/dataV2.csv
Total Cases: Female,False,../../../covid19-data/MA/data/dataV2.csv
Total Cases: Male,False,../../../covid19-data/MA/data/dataV2.csv
Total Cases: Unknown Sex,False,../../../covid19-data/MA/data/dataV2.csv
Report Date,False,../../../covid19-data/MA/data/dataV2.csv
# Cases Quarantined: Complete,False,../../../covid19-data/MA/data/dataV2.csv
# Cases Quarantined: Current,False,../../../covid19-data/MA/data/dataV2.csv
# Cases Quarantined: Ever,False,../../../covid19-data/MA/data/dataV2.csv
Quarantine Report Date,False,../../../covid19-data/MA/data/dataV2.csv
Scrape Time,False,../../../covid19-data/MA/data/dataV2.csv
State Name,False,../../../covid19-data/MD/data/data.csv
State,False,../../../covid19-data/MD/data/data.csv
Report Date,False,../../../covid19-data/MD/data/data.csv
Total Cases,False,../../../covid19-data/MD/data/data.csv
Total Tested,False,../../../covid19-data/MD/data/data.csv
Total Hospitalized,False,../../../covid19-data/MD/data/data.csv
Total Deaths,False,../../../covid19-data/MD/data/data.csv
# Cases Age [0-9],False,../../../covid19-data/MD/data/data.csv
# Cases Age [10-19],False,../../../covid19-data/MD/data/data.csv
# Cases Age [20-29],False,../../../covid19-data/MD/data/data.csv
# Cases Age [30-39],False,../../../covid19-data/MD/data/data.csv
# Cases Age [40-49],False,../../../covid19-data/MD/data/data.csv
# Cases Age [50-59],False,../../../covid19-data/MD/data/data.csv
# Cases Age [60-69],False,../../../covid19-data/MD/data/data.csv
# Cases Age [70-79],False,../../../covid19-data/MD/data/data.csv
# Cases Age [80+],False,../../../covid19-data/MD/data/data.csv
# Cases Age [Unknown],True,../../../covid19-data/MD/data/data.csv
# Deaths Age [0-9],True,../../../covid19-data/MD/data/data.csv
# Deaths Age [10-19],True,../../../covid19-data/MD/data/data.csv
# Deaths Age [20-29],True,../../../covid19-data/MD/data/data.csv
# Deaths Age [30-39],True,../../../covid19-data/MD/data/data.csv
# Deaths Age [40-49],True,../../../covid19-data/MD/data/data.csv
# Deaths Age [50-59],True,../../../covid19-data/MD/data/data.csv
# Deaths Age [60-69],True,../../../covid19-data/MD/data/data.csv
# Deaths Age [70-79],True,../../../covid19-data/MD/data/data.csv
# Deaths Age [80+],True,../../../covid19-data/MD/data/data.csv
# Deaths Age [Unknown],True,../../../covid19-data/MD/data/data.csv
Total Cases: Female,False,../../../covid19-data/MD/data/data.csv
Total Cases: Male,False,../../../covid19-data/MD/data/data.csv
Total Deaths: Female,True,../../../covid19-data/MD/data/data.csv
Total Deaths: Male,True,../../../covid19-data/MD/data/data.csv
# Cases Race/Ethnicity: African-American,True,../../../covid19-data/MD/data/data.csv
# Cases Race/Ethnicity: Asian,True,../../../covid19-data/MD/data/data.csv
# Cases Race/Ethnicity: White,True,../../../covid19-data/MD/data/data.csv
# Cases Race/Ethnicity: Hispanic,True,../../../covid19-data/MD/data/data.csv
# Cases Race/Ethnicity: Other,True,../../../covid19-data/MD/data/data.csv
# Cases Race/Ethnicity: Unknown,True,../../../covid19-data/MD/data/data.csv
# Deaths Race/Ethnicity: African-American,True,../../../covid19-data/MD/data/data.csv
# Deaths Race/Ethnicity: Asian,True,../../../covid19-data/MD/data/data.csv
# Deaths Race/Ethnicity: White,True,../../../covid19-data/MD/data/data.csv
# Deaths Race/Ethnicity: Hispanic,True,../../../covid19-data/MD/data/data.csv
# Deaths Race/Ethnicity: Other,True,../../../covid19-data/MD/data/data.csv
# Deaths Race/Ethnicity: Unknown,True,../../../covid19-data/MD/data/data.csv
Scrape Time,False,../../../covid19-data/MD/data/data.csv
% Cases Age [0-19],False,../../../covid19-data/ME/data/data.csv
% Cases Age [20-29],False,../../../covid19-data/ME/data/data.csv
% Cases Age [30-39],False,../../../covid19-data/ME/data/data.csv
% Cases Age [40-49],False,../../../covid19-data/ME/data/data.csv
% Cases Age [50-59],False,../../../covid19-data/ME/data/data.csv
% Cases Age [60-69],False,../../../covid19-data/ME/data/data.csv
% Cases Age [70-79],False,../../../covid19-data/ME/data/data.csv
% Cases Age [80+],False,../../../covid19-data/ME/data/data.csv
% Total Cases: Female,False,../../../covid19-data/ME/data/data.csv
% Total Cases: Male,False,../../../covid19-data/ME/data/data.csv
Scrape Time,False,../../../covid19-data/ME/data/data.csv
State Name,False,../../../covid19-data/MI/data/data.csv
State,False,../../../covid19-data/MI/data/data.csv
Report Date,False,../../../covid19-data/MI/data/data.csv
Total Cases,False,../../../covid19-data/MI/data/data.csv
Total Deaths,False,../../../covid19-data/MI/data/data.csv
# Cases Age [0-19],False,../../../covid19-data/MI/data/data.csv
# Cases Age [20-29],False,../../../covid19-data/MI/data/data.csv
# Cases Age [30-39],False,../../../covid19-data/MI/data/data.csv
# Cases Age [40-49],False,../../../covid19-data/MI/data/data.csv
# Cases Age [50-59],False,../../../covid19-data/MI/data/data.csv
# Cases Age [60-69],False,../../../covid19-data/MI/data/data.csv
# Cases Age [70-79],False,../../../covid19-data/MI/data/data.csv
# Cases Age [80+],False,../../../covid19-data/MI/data/data.csv
# Cases Age [Unknown],True,../../../covid19-data/MI/data/data.csv
Total Cases: Male,False,../../../covid19-data/MI/data/data.csv
Total Cases: Female,False,../../../covid19-data/MI/data/data.csv
Total Cases: Unknown Sex,True,../../../covid19-data/MI/data/data.csv
# Cases Race/Ethnicity: American Indian/Alaska Native,True,../../../covid19-data/MI/data/data.csv
# Cases Race/Ethnicity: Asian/Pacific Islander,True,../../../covid19-data/MI/data/data.csv
# Cases Race/Ethnicity: Black or African American,True,../../../covid19-data/MI/data/data.csv
# Cases Race/Ethnicity: White,True,../../../covid19-data/MI/data/data.csv
# Cases Race/Ethnicity: Multiple Races,True,../../../covid19-data/MI/data/data.csv
# Cases Race/Ethnicity: Other,True,../../../covid19-data/MI/data/data.csv
# Cases Race/Ethnicity: Unknown,True,../../../covid19-data/MI/data/data.csv
# Deaths Race/Ethnicity: American Indian or Alaska Native,True,../../../covid19-data/MI/data/data.csv
# Deaths Race/Ethnicity: Asian/Pacific Islander,True,../../../covid19-data/MI/data/data.csv
# Deaths Race/Ethnicity: Black or African American,True,../../../covid19-data/MI/data/data.csv
# Deaths Race/Ethnicity: Caucasian,True,../../../covid19-data/MI/data/data.csv
# Deaths Race/Ethnicity: Multiple Races,True,../../../covid19-data/MI/data/data.csv
# Deaths Race/Ethnicity: Other,True,../../../covid19-data/MI/data/data.csv
# Deaths Race/Ethnicity: Unknown,True,../../../covid19-data/MI/data/data.csv
# Cases Race/Ethnicity: Hispanic/Latino,True,../../../covid19-data/MI/data/data.csv
# Cases Race/Ethnicity: Non-Hispanic/Latino,True,../../../covid19-data/MI/data/data.csv
# Cases Race/ Ethnicity: Unknown,True,../../../covid19-data/MI/data/data.csv
# Deaths Race/Ethnicity: Hispanic/Latino,True,../../../covid19-data/MI/data/data.csv
# Deaths Race/Ethnicity: Non-Hispanic Latino,True,../../../covid19-data/MI/data/data.csv
# Deaths Race/Ethnicity: Unknown,True,../../../covid19-data/MI/data/data.csv
Scrape Time,False,../../../covid19-data/MI/data/data.csv
State Name,False,../../../covid19-data/MN/data/data.csv
State,False,../../../covid19-data/MN/data/data.csv
Report Date,False,../../../covid19-data/MN/data/data.csv
Total Cases,False,../../../covid19-data/MN/data/data.csv
Total Tested,False,../../../covid19-data/MN/data/data.csv
Total Deaths,False,../../../covid19-data/MN/data/data.csv
Total Hospitalized,False,../../../covid19-data/MN/data/data.csv
Total Cases: Female,False,../../../covid19-data/MN/data/data.csv
Total Cases: Female,False,../../../covid19-data/MN/data/data.csv
Total Cases: Unknown Sex,False,../../../covid19-data/MN/data/data.csv
# Cases Age [0-5],False,../../../covid19-data/MN/data/data.csv
# Cases Age [6-19],False,../../../covid19-data/MN/data/data.csv
# Cases Age [20-44],True,../../../covid19-data/MN/data/data.csv
# Cases Age [45-64],True,../../../covid19-data/MN/data/data.csv
# Cases Age [65+],True,../../../covid19-data/MN/data/data.csv
# Cases Race/Ethnicity: White,False,../../../covid19-data/MN/data/data.csv
# Cases Race/Ethnicity: Black,False,../../../covid19-data/MN/data/data.csv
# Cases Race/Ethnicity: Asian,False,../../../covid19-data/MN/data/data.csv
# Cases Race/Ethnicity: Native Hawaiian/ Pacific Islander,False,../../../covid19-data/MN/data/data.csv
# Cases Race/Ethnicity: American Indian/Alaska Native,False,../../../covid19-data/MN/data/data.csv
# Cases Race/Ethnicity: Other,False,../../../covid19-data/MN/data/data.csv
# Cases Race/Ethnicity: Unknown,False,../../../covid19-data/MN/data/data.csv
# Deaths Race/Ethnicity: White,False,../../../covid19-data/MN/data/data.csv
# Deaths Race/Ethnicity: Black,False,../../../covid19-data/MN/data/data.csv
# Deaths Race/Ethnicity: Asian,False,../../../covid19-data/MN/data/data.csv
# Deaths Race/Ethnicity: Native Hawaiian/ Pacific Islander,False,../../../covid19-data/MN/data/data.csv
# Deaths Race/Ethnicity: American Indian/ Alaska Native,False,../../../covid19-data/MN/data/data.csv
# Deaths Race/Ethnicity: Other,False,../../../covid19-data/MN/data/data.csv
# Deaths Race/Ethnicity: Unknown,False,../../../covid19-data/MN/data/data.csv
# Cases Race/Ethnicity: Hispanic,False,../../../covid19-data/MN/data/data.csv
"Hispanic per 100,000: Cases",False,../../../covid19-data/MN/data/data.csv
# Cases Race/Ethnicity: Unknown,False,../../../covid19-data/MN/data/data.csv
# Deaths Race/Ethnicity: Hispanic,False,../../../covid19-data/MN/data/data.csv
# Deaths Race/Ethnicity: Non-Hispanic,False,../../../covid19-data/MN/data/data.csv
# Deaths Race/Ethnicity: Unknown,False,../../../covid19-data/MN/data/data.csv
Scrape Time,False,../../../covid19-data/MN/data/data.csv
# Cases Age [Unknown],True,../../../covid19-data/MN/data/data.csv
# Cases Age [20-29],True,../../../covid19-data/MN/data/data.csv
# Cases Age [30-39],True,../../../covid19-data/MN/data/data.csv
# Cases Age [40-49],True,../../../covid19-data/MN/data/data.csv
# Cases Age [50-59],True,../../../covid19-data/MN/data/data.csv
# Cases Age [60-69],True,../../../covid19-data/MN/data/data.csv
# Cases Age [70+],True,../../../covid19-data/MN/data/data.csv
# Deaths Age [0-5],True,../../../covid19-data/MN/data/data.csv
# Deaths Age [6-19],True,../../../covid19-data/MN/data/data.csv
# Deaths Age [20-29],True,../../../covid19-data/MN/data/data.csv
# Deaths Age [30-39],True,../../../covid19-data/MN/data/data.csv
# Deaths Age [40-49],True,../../../covid19-data/MN/data/data.csv
# Deaths Age [50-59],True,../../../covid19-data/MN/data/data.csv
# Deaths Age [60-69],True,../../../covid19-data/MN/data/data.csv
# Deaths Age [70+],True,../../../covid19-data/MN/data/data.csv
# Deaths Age [Unknown],True,../../../covid19-data/MN/data/data.csv
# Cases Race/Ethnicity: Multiple races,True,../../../covid19-data/MN/data/data.csv
# Deaths Race/Ethnicity: Multiple races,True,../../../covid19-data/MN/data/data.csv
Unknown,True,../../../covid19-data/MO/data/age_data (Armin Pourshafeie's conflicted copy 2020-05-11).csv
