NAMELABEL,ALLFIPS,LAST_UPDATE,Total,F_0_9,M_0_9,T_0_9,F_10_19,M_10_19,T_10_19,F_20_29,M_20_29,T_20_29,F_30_39,M_30_39,T_30_39,F_40_49,M_40_49,T_40_49,F_50_59,M_50_59,T_50_59,F_60_69,M_60_69,T_60_69,F_70_79,M_70_79,T_70_79,F_80_89,M_80_89,T_80_89,F_90_99,M_90_99,T_90_99,F_100,M_100,T_100,Notes,Scrape_Time
Cascade,30013,3/30/15 20:00,7,0,0,0,0,0,0,2,0,2,0,1,1,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,17:58.6
Toole,30101,12/30/09 19:00,6,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,2,1,0,1,0,0,0,0,0,0,,17:58.6
Madison,30057,2/6/19 19:00,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,,17:58.6
Lincoln,30053,12/30/09 19:00,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,17:58.6
Park,30067,2/6/19 19:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,17:58.6
Deer Lodge,30023,9/8/15 20:00,3,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,17:58.6
Broadwater,30007,9/8/15 20:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,17:58.6
Lake,30047,2/6/19 19:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,MT resident was exposed and isolated in Maryland,17:58.6
Jefferson,30043,9/8/15 20:00,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,17:58.6
Ravalli,30081,12/30/09 19:00,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,17:58.6
Meagher,30059,9/8/15 20:00,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,17:58.6
Roosevelt,30085,10/14/16 20:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,17:58.6
Hill,30041,12/30/09 19:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,17:58.6
Gallatin,30031,2/6/19 19:00,74,0,0,0,2,1,3,11,7,18,5,9,14,7,5,12,5,6,11,5,9,14,1,0,1,1,0,1,0,0,0,0,0,0,"Male in 60s is California resident, Male in 20s is New Hampshire resident",28:32.2
Yellowstone,30111,10/14/16 20:00,31,0,0,0,0,2,2,5,4,9,1,2,3,2,2,4,4,3,7,2,1,3,0,0,0,1,2,3,0,0,0,0,0,0,,28:32.2
Missoula,30063,2/6/19 19:00,14,0,0,0,0,0,0,3,2,5,1,1,2,1,1,2,0,3,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,28:32.2
Lewis and Clark,30049,2/6/19 19:00,12,0,0,0,0,1,1,0,0,0,1,2,3,1,1,2,1,2,3,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,,28:32.2
Flathead,30029,2/6/19 19:00,11,0,0,0,0,0,0,3,0,3,1,2,3,0,1,1,1,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"One reported case of an out of state resident, male 50-59",28:32.2
Silver Bow,30093,12/30/09 19:00,10,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,2,3,3,1,4,0,1,1,0,0,0,0,0,0,0,0,0,,28:32.2
Cascade,30013,3/30/15 20:00,9,0,0,0,0,0,0,2,0,2,0,1,1,0,1,1,2,2,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,28:32.2
Madison,30057,2/6/19 19:00,6,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,,28:32.2
Toole,30101,12/30/09 19:00,6,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,2,1,0,1,1,0,1,0,0,0,,28:32.2
Lincoln,30053,12/30/09 19:00,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,,28:32.2
Park,30067,2/6/19 19:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,28:32.2
Deer Lodge,30023,9/8/15 20:00,3,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,28:32.2
Broadwater,30007,9/8/15 20:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,28:32.2
Lake,30047,2/6/19 19:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,MT resident was exposed and isolated in Maryland,28:32.2
Jefferson,30043,9/8/15 20:00,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,28:32.2
Ravalli,30081,12/30/09 19:00,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,28:32.2
Musselshell,30065,2/6/19 19:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,28:32.2
Meagher,30059,9/8/15 20:00,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,28:32.2
Roosevelt,30085,10/14/16 20:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,28:32.2
Hill,30041,12/30/09 19:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,28:32.2
Liberty,30051,12/30/09 19:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,28:32.2
Gallatin,30031,2/6/19 19:00,79,0,0,0,2,1,3,12,7,19,5,9,14,9,5,14,5,6,11,5,11,16,1,0,1,1,0,1,0,0,0,0,0,0,"Male in 60s is California resident, Male in 20s is New Hampshire resident",08:42.0
Yellowstone,30111,10/14/16 20:00,32,0,0,0,0,2,2,5,5,10,1,2,3,2,2,4,4,3,7,2,1,3,0,0,0,1,2,3,0,0,0,0,0,0,,08:42.0
Flathead,30029,2/6/19 19:00,17,0,0,0,0,0,0,4,1,5,1,2,3,1,1,2,2,2,4,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,"One reported case of an out of state resident, male 50-59",08:42.0
Missoula,30063,2/6/19 19:00,15,0,0,0,0,0,0,3,2,5,2,1,3,1,1,2,0,3,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,08:42.0
Lewis and Clark,30049,2/6/19 19:00,13,0,0,0,0,1,1,0,0,0,1,2,3,1,2,3,1,2,3,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,,08:42.0
Silver Bow,30093,12/30/09 19:00,11,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,2,3,4,1,5,0,1,1,0,0,0,0,0,0,0,0,0,,08:42.0
Cascade,30013,3/30/15 20:00,9,0,0,0,0,0,0,2,0,2,0,1,1,0,1,1,2,2,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,08:42.0
Madison,30057,2/6/19 19:00,6,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,,08:42.0
Toole,30101,12/30/09 19:00,6,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,2,1,0,1,1,0,1,0,0,0,,08:42.0
Lincoln,30053,12/30/09 19:00,6,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,,08:42.0
Park,30067,2/6/19 19:00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,08:42.0
Deer Lodge,30023,9/8/15 20:00,3,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,08:42.0
Broadwater,30007,9/8/15 20:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,08:42.0
Lake,30047,2/6/19 19:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,MT resident was exposed and isolated in Maryland,08:42.0
Jefferson,30043,9/8/15 20:00,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,08:42.0
Carbon,30009,10/14/16 20:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,08:42.0
Ravalli,30081,12/30/09 19:00,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,08:42.0
Musselshell,30065,2/6/19 19:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,08:42.0
Meagher,30059,9/8/15 20:00,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,08:42.0
Roosevelt,30085,10/14/16 20:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,08:42.0
Hill,30041,12/30/09 19:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,08:42.0
Liberty,30051,12/30/09 19:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,08:42.0
Gallatin,30031,2/6/19 19:00,79,0,0,0,2,1,3,12,7,19,5,9,14,9,5,14,5,6,11,5,11,16,1,0,1,1,0,1,0,0,0,0,0,0,"Male in 60s is California resident, Male in 20s is New Hampshire resident",11:57.8
Yellowstone,30111,10/14/16 20:00,32,0,0,0,0,2,2,5,5,10,1,2,3,2,2,4,4,3,7,2,1,3,0,0,0,1,2,3,0,0,0,0,0,0,,11:57.8
Flathead,30029,2/6/19 19:00,17,0,0,0,0,0,0,4,1,5,1,2,3,1,1,2,2,2,4,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,"One reported case of an out of state resident, male 50-59",11:57.8
Missoula,30063,2/6/19 19:00,15,0,0,0,0,0,0,3,2,5,2,1,3,1,1,2,0,3,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,11:57.8
Lewis and Clark,30049,2/6/19 19:00,13,0,0,0,0,1,1,0,0,0,1,2,3,1,2,3,1,2,3,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,,11:57.8
Silver Bow,30093,12/30/09 19:00,11,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,2,3,4,1,5,0,1,1,0,0,0,0,0,0,0,0,0,,11:57.8
Cascade,30013,3/30/15 20:00,9,0,0,0,0,0,0,2,0,2,0,1,1,0,1,1,2,2,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,11:57.8
Madison,30057,2/6/19 19:00,6,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,,11:57.8
Toole,30101,12/30/09 19:00,6,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,2,1,0,1,1,0,1,0,0,0,,11:57.8
Lincoln,30053,12/30/09 19:00,6,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,,11:57.8
Park,30067,2/6/19 19:00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,11:57.8
Deer Lodge,30023,9/8/15 20:00,3,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11:57.8
Broadwater,30007,9/8/15 20:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,11:57.8
Lake,30047,2/6/19 19:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,MT resident was exposed and isolated in Maryland,11:57.8
Jefferson,30043,9/8/15 20:00,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11:57.8
Carbon,30009,10/14/16 20:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11:57.8
Ravalli,30081,12/30/09 19:00,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11:57.8
Musselshell,30065,2/6/19 19:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,11:57.8
Meagher,30059,9/8/15 20:00,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11:57.8
Roosevelt,30085,10/14/16 20:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,11:57.8
Hill,30041,12/30/09 19:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,11:57.8
Liberty,30051,12/30/09 19:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,11:57.8
Gallatin,30031,2/6/19 19:00,93,0,0,0,2,1,3,13,8,21,6,11,17,10,7,17,5,9,14,6,12,18,1,0,1,2,0,2,0,0,0,0,0,0,"Male in 60s is California resident, Male in 20s is New Hampshire resident",26:39.1
Yellowstone,30111,10/14/16 20:00,35,0,0,0,0,2,2,5,5,10,1,3,4,2,3,5,4,3,7,3,1,4,0,0,0,1,2,3,0,0,0,0,0,0,,26:39.1
Flathead,30029,2/6/19 19:00,18,0,0,0,0,0,0,4,1,5,1,2,3,2,1,3,2,2,4,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,"One reported case of an out of state resident, male 50-59",26:39.1
Missoula,30063,2/6/19 19:00,17,0,0,0,0,0,0,3,2,5,2,2,4,1,1,2,0,4,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,26:39.1
Lewis and Clark,30049,2/6/19 19:00,13,0,0,0,0,1,1,0,0,0,1,2,3,1,2,3,1,2,3,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,,26:39.1
Silver Bow,30093,12/30/09 19:00,11,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,2,3,4,1,5,0,1,1,0,0,0,0,0,0,0,0,0,,26:39.1
Cascade,30013,3/30/15 20:00,11,0,0,0,0,0,0,2,0,2,0,1,1,0,1,1,3,2,5,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,,26:39.1
Madison,30057,2/6/19 19:00,6,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,,26:39.1
Park,30067,2/6/19 19:00,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,,26:39.1
Toole,30101,12/30/09 19:00,6,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,2,1,0,1,1,0,1,0,0,0,,26:39.1
Lincoln,30053,12/30/09 19:00,6,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,,26:39.1
Lake,30047,2/6/19 19:00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,MT resident was exposed and isolated in Maryland,26:39.1
Deer Lodge,30023,9/8/15 20:00,3,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,26:39.1
Broadwater,30007,9/8/15 20:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,26:39.1
Jefferson,30043,9/8/15 20:00,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,26:39.1
Carbon,30009,10/14/16 20:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,26:39.1
Ravalli,30081,12/30/09 19:00,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,26:39.1
Musselshell,30065,2/6/19 19:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,26:39.1
Meagher,30059,9/8/15 20:00,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,26:39.1
Roosevelt,30085,10/14/16 20:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,26:39.1
Hill,30041,12/30/09 19:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,26:39.1
Liberty,30051,12/30/09 19:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,26:39.1
Gallatin,30031,2/6/19 19:00,101,0,0,0,2,1,3,13,10,23,8,11,19,10,7,17,5,9,14,8,13,21,2,0,2,2,0,2,0,0,0,0,0,0,"Male in 60s is California resident, Male in 20s is New Hampshire resident",24:53.1
Yellowstone,30111,10/14/16 20:00,38,0,0,0,0,2,2,6,6,12,1,3,4,2,3,5,4,4,8,3,1,4,0,0,0,1,2,3,0,0,0,0,0,0,,24:53.1
Flathead,30029,2/6/19 19:00,20,0,0,0,0,0,0,4,1,5,2,3,5,2,1,3,2,2,4,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,"One reported case of an out of state resident, male 50-59",24:53.1
Missoula,30063,2/6/19 19:00,17,0,0,0,0,0,0,3,2,5,2,2,4,1,1,2,0,4,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,24:53.1
Lewis and Clark,30049,2/6/19 19:00,13,0,0,0,0,1,1,0,0,0,1,2,3,1,2,3,1,2,3,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,,24:53.1
Toole,30101,12/30/09 19:00,12,0,0,0,1,0,1,3,0,3,2,0,2,1,0,1,0,1,1,0,0,0,1,1,2,1,0,1,1,0,1,0,0,0,,24:53.1
Silver Bow,30093,12/30/09 19:00,11,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,2,3,4,1,5,0,1,1,0,0,0,0,0,0,0,0,0,,24:53.1
Cascade,30013,3/30/15 20:00,11,0,0,0,0,0,0,2,0,2,0,1,1,0,1,1,3,2,5,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,,24:53.1
Madison,30057,2/6/19 19:00,6,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,,24:53.1
Park,30067,2/6/19 19:00,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,,24:53.1
Lincoln,30053,12/30/09 19:00,6,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,,24:53.1
Broadwater,30007,9/8/15 20:00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,,24:53.1
Lake,30047,2/6/19 19:00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,MT resident was exposed and isolated in Maryland,24:53.1
Deer Lodge,30023,9/8/15 20:00,3,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,24:53.1
Jefferson,30043,9/8/15 20:00,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,24:53.1
Carbon,30009,10/14/16 20:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,24:53.1
Ravalli,30081,12/30/09 19:00,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,24:53.1
Musselshell,30065,2/6/19 19:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,24:53.1
Meagher,30059,9/8/15 20:00,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,24:53.1
Roosevelt,30085,10/14/16 20:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,24:53.1
Hill,30041,12/30/09 19:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,24:53.1
Liberty,30051,12/30/09 19:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,24:53.1
Glacier,30035,12/30/09 19:00,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,24:53.1
Gallatin,30031,2/6/19 19:00,109,0,1,1,2,1,3,15,11,26,11,11,22,10,7,17,5,9,14,8,14,22,2,0,2,2,0,2,0,0,0,0,0,0,"Male in 60s is California resident, Male in 20s is New Hampshire resident",10:31.0
Yellowstone,30111,10/14/16 20:00,38,0,0,0,0,2,2,6,6,12,1,3,4,2,3,5,4,4,8,3,1,4,0,0,0,1,2,3,0,0,0,0,0,0,,10:31.0
Flathead,30029,2/6/19 19:00,23,0,0,0,0,0,0,4,2,6,2,3,5,3,1,4,2,2,4,1,0,1,1,2,3,0,0,0,0,0,0,0,0,0,"One reported case of an out of state resident, male 50-59",10:31.0
Missoula,30063,2/6/19 19:00,19,0,0,0,0,0,0,4,2,6,2,2,4,1,1,2,0,4,4,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,,10:31.0
Toole,30101,12/30/09 19:00,15,0,0,0,1,0,1,3,0,3,2,0,2,1,0,1,1,1,2,0,0,0,1,1,2,2,0,2,2,0,2,0,0,0,,10:31.0
Lewis and Clark,30049,2/6/19 19:00,14,0,0,0,0,1,1,0,0,0,1,2,3,1,2,3,1,2,3,1,1,2,0,2,2,0,0,0,0,0,0,0,0,0,,10:31.0
Silver Bow,30093,12/30/09 19:00,11,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,2,3,4,1,5,0,1,1,0,0,0,0,0,0,0,0,0,,10:31.0
Cascade,30013,3/30/15 20:00,11,0,0,0,0,0,0,2,0,2,0,1,1,0,1,1,3,2,5,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,,10:31.0
Madison,30057,2/6/19 19:00,6,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,,10:31.0
Park,30067,2/6/19 19:00,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,,10:31.0
Lincoln,30053,12/30/09 19:00,6,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,,10:31.0
Broadwater,30007,9/8/15 20:00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,,10:31.0
Lake,30047,2/6/19 19:00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,MT resident was exposed and isolated in Maryland,10:31.0
Deer Lodge,30023,9/8/15 20:00,3,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10:31.0
Jefferson,30043,9/8/15 20:00,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10:31.0
Ravalli,30081,12/30/09 19:00,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,10:31.0
Carbon,30009,10/14/16 20:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10:31.0
Beaverhead,30001,12/30/09 19:00,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10:31.0
Musselshell,30065,2/6/19 19:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,10:31.0
