county,totalcountconfirmed,totalcountdeaths,newcountconfirmed,newcountdeaths,date
Butte,11,0,0,0,4/8/20
Butte,12,0,1,0,4/9/20
Butte,13,0,1,0,4/10/20
Butte,13,0,0,0,4/11/20
Butte,13,0,0,0,4/12/20
Butte,13,0,0,0,4/13/20
Butte,13,0,0,0,4/14/20
Butte,14,0,1,0,4/15/20
Butte,15,0,1,0,4/16/20
Butte,15,0,0,0,4/17/20
Butte,15,0,0,0,4/18/20
Butte,15,0,0,0,4/19/20
Butte,15,0,0,0,4/20/20
Butte,15,0,0,0,4/21/20
Butte,15,0,0,0,4/22/20
Butte,15,0,0,0,4/23/20
Butte,15,0,0,0,4/24/20
Butte,16,0,1,0,4/25/20
Butte,16,0,0,0,4/26/20
Butte,16,0,0,0,4/27/20
Butte,16,0,0,0,4/28/20
Butte,16,0,0,0,4/29/20
Butte,16,0,0,0,4/30/20
Butte,17,0,1,0,5/1/20
Butte,17,0,0,0,5/2/20
Butte,17,0,0,0,5/3/20
Butte,16,0,-1,0,5/4/20
Butte,19,0,3,0,5/5/20
Butte,19,0,0,0,5/6/20
Butte,19,0,0,0,5/7/20
Butte,18,0,-1,0,5/8/20
Butte,18,0,0,0,5/9/20
Butte,18,0,0,0,5/10/20
Butte,19,0,1,0,5/11/20
Butte,20,0,1,0,5/12/20
Butte,21,0,1,0,5/13/20
Butte,22,0,1,0,5/14/20
Butte,22,0,0,0,5/15/20
Butte,22,0,0,0,5/16/20
Butte,23,0,1,0,5/17/20
Butte,24,0,1,0,5/18/20
Butte,25,0,1,0,5/19/20
Butte,30,0,5,0,5/20/20
Butte,31,0,1,0,5/21/20
Butte,34,0,3,0,5/22/20
Butte,34,0,0,0,5/23/20
Butte,35,0,1,0,5/24/20
Butte,37,0,2,0,5/25/20
Butte,37,0,0,0,5/26/20
Butte,40,0,3,0,5/27/20
Butte,40,0,0,0,5/28/20
Butte,41,0,1,0,5/29/20
Butte,44,0,3,0,5/30/20
Butte,51,0,7,0,5/31/20
Butte,50,0,-1,0,6/1/20
Butte,51,1,1,1,6/2/20
Butte,53,1,2,0,6/3/20
Butte,57,1,4,0,6/4/20
Butte,61,1,4,0,6/5/20
Butte,63,1,2,0,6/6/20
Butte,64,1,1,0,6/7/20
Butte,68,1,4,0,6/8/20
Butte,70,1,2,0,6/9/20
Butte,71,1,1,0,6/10/20
Butte,72,1,1,0,6/11/20
Butte,71,1,-1,0,6/12/20
Butte,72,1,1,0,6/13/20
Butte,78,1,6,0,6/14/20
Butte,78,1,0,0,6/15/20
Butte,79,1,1,0,6/16/20
Butte,81,1,2,0,6/17/20
Butte,88,1,7,0,6/18/20
Butte,91,1,3,0,6/19/20
Butte,94,1,3,0,6/20/20
Butte,97,1,3,0,6/21/20
Butte,104,1,7,0,6/22/20
Butte,111,1,7,0,6/23/20
Butte,119,1,8,0,6/24/20
Butte,127,2,8,1,6/25/20
Butte,135,2,8,0,6/26/20
Butte,137,2,2,0,6/27/20
Butte,150,2,13,0,6/28/20
Santa Cruz,11,0,11,0,3/18/20
Santa Cruz,13,0,2,0,3/19/20
Santa Cruz,13,0,0,0,3/20/20
Santa Cruz,17,0,4,0,3/21/20
Santa Cruz,19,0,2,0,3/22/20
Santa Cruz,21,0,2,0,3/23/20
Santa Cruz,22,0,1,0,3/24/20
Santa Cruz,26,0,4,0,3/25/20
Santa Cruz,30,0,4,0,3/26/20
Santa Cruz,31,0,1,0,3/27/20
Santa Cruz,31,0,0,0,3/28/20
Santa Cruz,33,1,2,1,3/29/20
Santa Cruz,36,1,3,0,3/30/20
Santa Cruz,40,1,4,0,3/31/20
Santa Cruz,44,1,4,0,4/1/20
Santa Cruz,49,1,5,0,4/2/20
Santa Cruz,52,1,3,0,4/3/20
Santa Cruz,56,1,4,0,4/4/20
Santa Cruz,59,1,3,0,4/5/20
Santa Cruz,65,1,6,0,4/6/20
Santa Cruz,67,1,2,0,4/7/20
Santa Cruz,69,1,2,0,4/8/20
Santa Cruz,73,1,4,0,4/9/20
Santa Cruz,75,1,2,0,4/10/20
Santa Cruz,79,1,4,0,4/11/20
Santa Cruz,80,1,1,0,4/12/20
Santa Cruz,82,1,2,0,4/13/20
Santa Cruz,84,1,2,0,4/14/20
Santa Cruz,92,1,8,0,4/15/20
Santa Cruz,90,2,-2,1,4/16/20
Santa Cruz,94,2,4,0,4/17/20
Santa Cruz,96,2,2,0,4/18/20
Santa Cruz,98,2,2,0,4/19/20
Santa Cruz,102,2,4,0,4/20/20
Santa Cruz,104,2,2,0,4/21/20
Santa Cruz,106,2,2,0,4/22/20
Santa Cruz,110,2,4,0,4/23/20
Santa Cruz,111,2,1,0,4/24/20
Santa Cruz,112,2,1,0,4/25/20
Santa Cruz,116,2,4,0,4/26/20
Santa Cruz,123,2,7,0,4/27/20
Santa Cruz,123,2,0,0,4/28/20
Santa Cruz,124,2,1,0,4/29/20
Santa Cruz,126,2,2,0,4/30/20
Santa Cruz,127,2,1,0,5/1/20
Santa Cruz,131,2,4,0,5/2/20
Santa Cruz,133,2,2,0,5/3/20
Santa Cruz,133,2,0,0,5/4/20
Santa Cruz,134,2,1,0,5/5/20
Santa Cruz,135,2,1,0,5/6/20
Santa Cruz,136,2,1,0,5/7/20
Santa Cruz,137,2,1,0,5/8/20
Santa Cruz,138,2,1,0,5/9/20
Santa Cruz,139,2,1,0,5/10/20
Santa Cruz,140,2,1,0,5/11/20
Santa Cruz,141,2,1,0,5/12/20
Santa Cruz,142,2,1,0,5/13/20
Santa Cruz,145,2,3,0,5/14/20
Santa Cruz,146,3,1,1,5/15/20
Santa Cruz,154,3,8,0,5/16/20
Santa Cruz,155,3,1,0,5/17/20
Santa Cruz,160,3,5,0,5/18/20
Santa Cruz,161,3,1,0,5/19/20
Santa Cruz,163,3,2,0,5/20/20
Santa Cruz,164,3,1,0,5/21/20
Santa Cruz,171,3,7,0,5/22/20
Santa Cruz,177,3,6,0,5/23/20
Santa Cruz,185,3,8,0,5/24/20
Santa Cruz,191,3,6,0,5/25/20
Santa Cruz,197,3,6,0,5/26/20
Santa Cruz,202,3,5,0,5/27/20
Santa Cruz,201,3,-1,0,5/28/20
Santa Cruz,203,3,2,0,5/29/20
Santa Cruz,206,3,3,0,5/30/20
Santa Cruz,210,3,4,0,5/31/20
Santa Cruz,215,3,5,0,6/1/20
Santa Cruz,215,3,0,0,6/2/20
Santa Cruz,217,3,2,0,6/3/20
Santa Cruz,218,3,1,0,6/4/20
Santa Cruz,222,3,4,0,6/5/20
Santa Cruz,226,3,4,0,6/6/20
Santa Cruz,230,3,4,0,6/7/20
Santa Cruz,234,3,4,0,6/8/20
Santa Cruz,237,3,3,0,6/9/20
Santa Cruz,242,3,5,0,6/10/20
Santa Cruz,247,3,5,0,6/11/20
Santa Cruz,251,3,4,0,6/12/20
Santa Cruz,254,3,3,0,6/13/20
Santa Cruz,254,3,0,0,6/14/20
Santa Cruz,254,3,0,0,6/15/20
Santa Cruz,257,3,3,0,6/16/20
Santa Cruz,265,3,8,0,6/17/20
Santa Cruz,275,2,10,-1,6/18/20
Santa Cruz,283,3,8,1,6/19/20
Santa Cruz,287,3,4,0,6/20/20
Santa Cruz,290,3,3,0,6/21/20
Santa Cruz,290,3,0,0,6/22/20
Santa Cruz,313,3,23,0,6/23/20
Santa Cruz,329,3,16,0,6/24/20
Santa Cruz,335,3,6,0,6/25/20
Santa Cruz,344,3,9,0,6/26/20
Santa Cruz,347,3,3,0,6/27/20
Santa Cruz,349,3,2,0,6/28/20
Mendocino,0,0,0,0,3/18/20
Mendocino,1,0,1,0,3/19/20
Mendocino,1,0,0,0,3/20/20
Mendocino,1,0,0,0,3/21/20
Mendocino,1,0,0,0,3/22/20
Mendocino,1,0,0,0,3/23/20
Mendocino,1,0,0,0,3/24/20
Mendocino,1,0,0,0,3/25/20
Mendocino,1,0,0,0,3/26/20
Mendocino,2,0,1,0,3/27/20
Mendocino,2,0,0,0,3/28/20
Mendocino,2,0,0,0,3/29/20
Mendocino,2,0,0,0,3/30/20
Mendocino,4,0,2,0,3/31/20
Mendocino,4,0,0,0,4/1/20
Mendocino,4,0,0,0,4/2/20
Mendocino,4,0,0,0,4/3/20
Mendocino,4,0,0,0,4/4/20
Mendocino,4,0,0,0,4/5/20
Mendocino,4,0,0,0,4/6/20
Mendocino,4,0,0,0,4/7/20
Mendocino,4,0,0,0,4/8/20
Mendocino,4,0,0,0,4/9/20
Mendocino,4,0,0,0,4/10/20
Mendocino,4,0,0,0,4/11/20
Mendocino,4,0,0,0,4/12/20
Mendocino,4,0,0,0,4/13/20
Mendocino,4,0,0,0,4/14/20
Mendocino,4,0,0,0,4/15/20
Mendocino,4,0,0,0,4/16/20
Mendocino,4,0,0,0,4/17/20
Mendocino,4,0,0,0,4/18/20
Mendocino,4,0,0,0,4/19/20
Mendocino,5,0,1,0,4/20/20
Mendocino,5,0,0,0,4/21/20
Mendocino,5,0,0,0,4/22/20
Mendocino,5,0,0,0,4/23/20
Mendocino,5,0,0,0,4/24/20
Mendocino,5,0,0,0,4/25/20
Mendocino,5,0,0,0,4/26/20
Mendocino,10,0,5,0,4/27/20
Mendocino,10,0,0,0,4/28/20
Mendocino,11,0,1,0,4/29/20
Mendocino,11,0,0,0,4/30/20
Mendocino,11,0,0,0,5/1/20
Mendocino,10,0,-1,0,5/2/20
Mendocino,10,0,0,0,5/3/20
Mendocino,10,0,0,0,5/4/20
Mendocino,10,0,0,0,5/5/20
Mendocino,10,0,0,0,5/6/20
Mendocino,10,0,0,0,5/7/20
Mendocino,10,0,0,0,5/8/20
Mendocino,10,0,0,0,5/9/20
Mendocino,10,0,0,0,5/10/20
Mendocino,10,0,0,0,5/11/20
Mendocino,10,0,0,0,5/12/20
Mendocino,10,0,0,0,5/13/20
Mendocino,10,0,0,0,5/14/20
Mendocino,10,0,0,0,5/15/20
Mendocino,10,0,0,0,5/16/20
Mendocino,10,0,0,0,5/17/20
Mendocino,12,0,2,0,5/18/20
Mendocino,12,0,0,0,5/19/20
Mendocino,12,0,0,0,5/20/20
Mendocino,12,0,0,0,5/21/20
Mendocino,13,0,1,0,5/22/20
Mendocino,13,0,0,0,5/23/20
Mendocino,19,0,6,0,5/24/20
Mendocino,19,0,0,0,5/25/20
Mendocino,20,0,1,0,5/26/20
Mendocino,21,0,1,0,5/27/20
Mendocino,24,0,3,0,5/28/20
Mendocino,25,0,1,0,5/29/20
Mendocino,24,0,-1,0,5/30/20
Mendocino,24,0,0,0,5/31/20
Mendocino,28,0,4,0,6/1/20
Mendocino,29,0,1,0,6/2/20
Mendocino,29,0,0,0,6/3/20
Mendocino,29,0,0,0,6/4/20
Mendocino,32,0,3,0,6/5/20
Mendocino,32,0,0,0,6/6/20
Mendocino,32,0,0,0,6/7/20
Mendocino,32,0,0,0,6/8/20
Mendocino,35,0,3,0,6/9/20
Mendocino,35,0,0,0,6/10/20
Mendocino,35,0,0,0,6/11/20
Mendocino,33,0,-2,0,6/12/20
Mendocino,33,0,0,0,6/13/20
Mendocino,33,0,0,0,6/14/20
Mendocino,33,0,0,0,6/15/20
Mendocino,35,0,2,0,6/16/20
Mendocino,42,0,7,0,6/17/20
Mendocino,45,0,3,0,6/18/20
Mendocino,48,0,3,0,6/19/20
Mendocino,48,0,0,0,6/20/20
Mendocino,48,0,0,0,6/21/20
Mendocino,48,0,0,0,6/22/20
Mendocino,61,0,13,0,6/23/20
Mendocino,60,0,-1,0,6/24/20
Mendocino,61,0,1,0,6/25/20
Mendocino,63,0,2,0,6/26/20
Mendocino,63,0,0,0,6/27/20
Mendocino,63,0,0,0,6/28/20
Fresno,3,0,3,0,3/18/20
Fresno,6,0,3,0,3/19/20
Fresno,7,0,1,0,3/20/20
Fresno,8,0,1,0,3/21/20
Fresno,8,0,0,0,3/22/20
Fresno,10,0,2,0,3/23/20
Fresno,18,0,8,0,3/24/20
Fresno,21,0,3,0,3/25/20
Fresno,25,0,4,0,3/26/20
Fresno,29,0,4,0,3/27/20
Fresno,31,0,2,0,3/28/20
Fresno,31,0,0,0,3/29/20
Fresno,46,0,15,0,3/30/20
Fresno,59,0,13,0,3/31/20
Fresno,75,0,16,0,4/1/20
Fresno,92,0,17,0,4/2/20
Fresno,98,1,6,1,4/3/20
Fresno,102,1,4,0,4/4/20
Fresno,102,1,0,0,4/5/20
Fresno,122,1,20,0,4/6/20
Fresno,138,3,16,2,4/7/20
Fresno,151,3,13,0,4/8/20
Fresno,165,3,14,0,4/9/20
Fresno,186,4,21,1,4/10/20
Fresno,201,4,15,0,4/11/20
Fresno,205,4,4,0,4/12/20
Fresno,209,5,4,1,4/13/20
Fresno,244,5,35,0,4/14/20
Fresno,264,7,20,2,4/15/20
Fresno,289,7,25,0,4/16/20
Fresno,315,7,26,0,4/17/20
Fresno,319,7,4,0,4/18/20
Fresno,326,7,7,0,4/19/20
Fresno,356,7,30,0,4/20/20
Fresno,372,7,16,0,4/21/20
Fresno,388,7,16,0,4/22/20
Fresno,426,7,38,0,4/23/20
Fresno,449,7,23,0,4/24/20
Fresno,459,7,10,0,4/25/20
Fresno,476,7,17,0,4/26/20
Fresno,504,7,28,0,4/27/20
Fresno,525,7,21,0,4/28/20
Fresno,544,7,19,0,4/29/20
Fresno,562,7,18,0,4/30/20
Fresno,617,8,55,1,5/1/20
Fresno,629,8,12,0,5/2/20
Fresno,646,8,17,0,5/3/20
Fresno,680,9,34,1,5/4/20
Fresno,726,9,46,0,5/5/20
Fresno,773,9,47,0,5/6/20
Fresno,812,9,39,0,5/7/20
Fresno,838,9,26,0,5/8/20
Fresno,861,9,23,0,5/9/20
Fresno,894,9,33,0,5/10/20
Fresno,937,9,43,0,5/11/20
Fresno,978,10,41,1,5/12/20
Fresno,993,13,15,3,5/13/20
Fresno,1038,13,45,0,5/14/20
Fresno,1126,16,88,3,5/15/20
Fresno,1177,16,51,0,5/16/20
Fresno,1213,16,36,0,5/17/20
Fresno,1244,17,31,1,5/18/20
Fresno,1288,17,44,0,5/19/20
Fresno,1329,20,41,3,5/20/20
Fresno,1362,22,33,2,5/21/20
Fresno,1399,22,37,0,5/22/20
Fresno,1447,22,48,0,5/23/20
Fresno,1455,22,8,0,5/24/20
Fresno,1496,22,41,0,5/25/20
Fresno,1496,26,0,4,5/26/20
Fresno,1620,30,124,4,5/27/20
Fresno,1653,32,33,2,5/28/20
Fresno,1687,35,34,3,5/29/20
Fresno,1744,35,57,0,5/30/20
Fresno,1780,35,36,0,5/31/20
Fresno,1854,36,74,1,6/1/20
Fresno,1917,37,63,1,6/2/20
Fresno,1943,37,26,0,6/3/20
Fresno,2007,40,64,3,6/4/20
Fresno,2051,43,44,3,6/5/20
Fresno,2117,43,66,0,6/6/20
Fresno,2144,43,27,0,6/7/20
Fresno,2194,43,50,0,6/8/20
Fresno,2278,48,84,5,6/9/20
Fresno,2324,49,46,1,6/10/20
Fresno,2338,51,14,2,6/11/20
Fresno,2428,52,90,1,6/12/20
Fresno,2499,52,71,0,6/13/20
Fresno,2585,52,86,0,6/14/20
Fresno,2616,55,31,3,6/15/20
Fresno,2731,57,115,2,6/16/20
Fresno,2801,61,70,4,6/17/20
Fresno,2947,62,146,1,6/18/20
Fresno,3109,66,162,4,6/19/20
Fresno,3222,66,113,0,6/20/20
Fresno,3296,66,74,0,6/21/20
Fresno,3425,67,129,1,6/22/20
Fresno,3569,70,144,3,6/23/20
Fresno,3765,71,196,1,6/24/20
Fresno,3938,71,173,0,6/25/20
Fresno,4166,72,228,1,6/26/20
Fresno,4317,72,151,0,6/27/20
Fresno,4365,72,48,0,6/28/20
Inyo,0,0,0,0,3/18/20
Inyo,0,0,0,0,3/19/20
Inyo,0,0,0,0,3/20/20
Inyo,0,0,0,0,3/21/20
Inyo,0,0,0,0,3/22/20
Inyo,0,0,0,0,3/23/20
Inyo,0,0,0,0,3/24/20
Inyo,0,0,0,0,3/25/20
Inyo,0,0,0,0,3/26/20
Inyo,0,0,0,0,3/27/20
Inyo,0,0,0,0,3/28/20
Inyo,0,0,0,0,3/29/20
Inyo,5,0,5,0,3/30/20
Inyo,8,0,3,0,3/31/20
Inyo,8,0,0,0,4/1/20
Inyo,8,0,0,0,4/2/20
Inyo,10,0,2,0,4/3/20
Inyo,10,0,0,0,4/4/20
Inyo,10,0,0,0,4/5/20
Inyo,11,0,1,0,4/6/20
Inyo,11,0,0,0,4/7/20
Inyo,11,0,0,0,4/8/20
Inyo,11,0,0,0,4/9/20
Inyo,11,0,0,0,4/10/20
Inyo,12,0,1,0,4/11/20
Inyo,12,0,0,0,4/12/20
Inyo,12,0,0,0,4/13/20
Inyo,12,0,0,0,4/14/20
Inyo,12,0,0,0,4/15/20
Inyo,17,0,5,0,4/16/20
Inyo,17,0,0,0,4/17/20
Inyo,17,0,0,0,4/18/20
Inyo,17,0,0,0,4/19/20
Inyo,17,0,0,0,4/20/20
Inyo,18,0,1,0,4/21/20
Inyo,18,0,0,0,4/22/20
Inyo,19,0,1,0,4/23/20
Inyo,20,1,1,1,4/24/20
Inyo,20,1,0,0,4/25/20
Inyo,20,1,0,0,4/26/20
Inyo,20,1,0,0,4/27/20
Inyo,20,1,0,0,4/28/20
Inyo,20,1,0,0,4/29/20
Inyo,20,1,0,0,4/30/20
Inyo,20,1,0,0,5/1/20
Inyo,20,1,0,0,5/2/20
Inyo,20,1,0,0,5/3/20
Inyo,20,1,0,0,5/4/20
Inyo,20,1,0,0,5/5/20
Inyo,20,1,0,0,5/6/20
Inyo,20,1,0,0,5/7/20
Inyo,20,1,0,0,5/8/20
Inyo,20,1,0,0,5/9/20
Inyo,20,1,0,0,5/10/20
Inyo,20,1,0,0,5/11/20
Inyo,20,1,0,0,5/12/20
Inyo,20,1,0,0,5/13/20
Inyo,20,1,0,0,5/14/20
Inyo,20,1,0,0,5/15/20
Inyo,20,1,0,0,5/16/20
Inyo,20,1,0,0,5/17/20
Inyo,20,1,0,0,5/18/20
Inyo,20,1,0,0,5/19/20
Inyo,20,1,0,0,5/20/20
Inyo,20,1,0,0,5/21/20
Inyo,20,1,0,0,5/22/20
Inyo,20,1,0,0,5/23/20
Inyo,20,1,0,0,5/24/20
Inyo,20,1,0,0,5/25/20
Inyo,20,1,0,0,5/26/20
Inyo,20,1,0,0,5/27/20
Inyo,20,1,0,0,5/28/20
Inyo,20,1,0,0,5/29/20
Inyo,20,1,0,0,5/30/20
Inyo,20,1,0,0,5/31/20
Inyo,20,1,0,0,6/1/20
Inyo,20,1,0,0,6/2/20
Inyo,20,1,0,0,6/3/20
Inyo,20,1,0,0,6/4/20
Inyo,21,1,1,0,6/5/20
Inyo,21,1,0,0,6/6/20
Inyo,21,1,0,0,6/7/20
Inyo,22,1,1,0,6/8/20
Inyo,22,1,0,0,6/9/20
Inyo,23,1,1,0,6/10/20
Inyo,23,1,0,0,6/11/20
Inyo,23,1,0,0,6/12/20
Inyo,23,1,0,0,6/13/20
Inyo,23,1,0,0,6/14/20
Inyo,23,1,0,0,6/15/20
Inyo,24,1,1,0,6/16/20
Inyo,25,1,1,0,6/17/20
Inyo,25,1,0,0,6/18/20
Inyo,26,1,1,0,6/19/20
Inyo,26,1,0,0,6/20/20
Inyo,26,1,0,0,6/21/20
Inyo,26,1,0,0,6/22/20
Inyo,26,1,0,0,6/23/20
Inyo,28,1,2,0,6/24/20
Inyo,27,1,-1,0,6/25/20
Inyo,29,1,2,0,6/26/20
Inyo,29,1,0,0,6/27/20
Inyo,29,1,0,0,6/28/20
San Joaquin,14,2,14,2,3/18/20
San Joaquin,15,2,1,0,3/19/20
San Joaquin,18,2,3,0,3/20/20
San Joaquin,26,2,8,0,3/21/20
San Joaquin,30,2,4,0,3/22/20
San Joaquin,37,2,7,0,3/23/20
San Joaquin,52,2,15,0,3/24/20
San Joaquin,64,2,12,0,3/25/20
San Joaquin,69,3,5,1,3/26/20
San Joaquin,73,3,4,0,3/27/20
San Joaquin,83,4,10,1,3/28/20
San Joaquin,86,4,3,0,3/29/20
San Joaquin,112,5,26,1,3/30/20
San Joaquin,122,7,10,2,3/31/20
San Joaquin,132,8,10,1,4/1/20
San Joaquin,148,9,16,1,4/2/20
San Joaquin,162,10,14,1,4/3/20
San Joaquin,171,10,9,0,4/4/20
San Joaquin,179,10,8,0,4/5/20
San Joaquin,191,10,12,0,4/6/20
San Joaquin,198,12,7,2,4/7/20
San Joaquin,211,12,13,0,4/8/20
San Joaquin,223,14,12,2,4/9/20
San Joaquin,234,14,11,0,4/10/20
San Joaquin,244,15,10,1,4/11/20
San Joaquin,246,15,2,0,4/12/20
San Joaquin,259,17,13,2,4/13/20
San Joaquin,280,17,21,0,4/14/20
San Joaquin,329,17,49,0,4/15/20
San Joaquin,345,17,16,0,4/16/20
San Joaquin,356,17,11,0,4/17/20
San Joaquin,392,17,36,0,4/18/20
San Joaquin,404,17,12,0,4/19/20
San Joaquin,422,17,18,0,4/20/20
San Joaquin,447,20,25,3,4/21/20
San Joaquin,462,20,15,0,4/22/20
San Joaquin,479,22,17,2,4/23/20
San Joaquin,484,24,5,2,4/24/20
San Joaquin,497,25,13,1,4/25/20
San Joaquin,514,25,17,0,4/26/20
San Joaquin,522,25,8,0,4/27/20
San Joaquin,532,25,10,0,4/28/20
San Joaquin,540,25,8,0,4/29/20
San Joaquin,548,25,8,0,4/30/20
San Joaquin,554,25,6,0,5/1/20
San Joaquin,559,25,5,0,5/2/20
San Joaquin,570,26,11,1,5/3/20
San Joaquin,574,26,4,0,5/4/20
San Joaquin,577,26,3,0,5/5/20
San Joaquin,581,27,4,1,5/6/20
San Joaquin,583,28,2,1,5/7/20
San Joaquin,595,28,12,0,5/8/20
San Joaquin,605,28,10,0,5/9/20
San Joaquin,611,29,6,1,5/10/20
San Joaquin,620,29,9,0,5/11/20
San Joaquin,625,30,5,1,5/12/20
San Joaquin,639,31,14,1,5/13/20
San Joaquin,643,31,4,0,5/14/20
San Joaquin,656,31,13,0,5/15/20
San Joaquin,668,32,12,1,5/16/20
San Joaquin,688,32,20,0,5/17/20
San Joaquin,697,32,9,0,5/18/20
San Joaquin,705,33,8,1,5/19/20
San Joaquin,713,33,8,0,5/20/20
San Joaquin,730,33,17,0,5/21/20
San Joaquin,747,33,17,0,5/22/20
San Joaquin,759,33,12,0,5/23/20
San Joaquin,760,33,1,0,5/24/20
San Joaquin,760,33,0,0,5/25/20
San Joaquin,760,33,0,0,5/26/20
San Joaquin,825,34,65,1,5/27/20
San Joaquin,840,35,15,1,5/28/20
San Joaquin,855,35,15,0,5/29/20
San Joaquin,888,35,33,0,5/30/20
San Joaquin,888,35,0,0,5/31/20
San Joaquin,957,35,69,0,6/1/20
San Joaquin,985,35,28,0,6/2/20
San Joaquin,1004,35,19,0,6/3/20
San Joaquin,1016,36,12,1,6/4/20
San Joaquin,1046,36,30,0,6/5/20
San Joaquin,1076,37,30,1,6/6/20
San Joaquin,1126,37,50,0,6/7/20
San Joaquin,1198,37,72,0,6/8/20
San Joaquin,1240,40,42,3,6/9/20
San Joaquin,1282,41,42,1,6/10/20
San Joaquin,1351,42,69,1,6/11/20
San Joaquin,1406,43,55,1,6/12/20
San Joaquin,1461,43,55,0,6/13/20
San Joaquin,1603,43,142,0,6/14/20
San Joaquin,1667,43,64,0,6/15/20
San Joaquin,1718,47,51,4,6/16/20
San Joaquin,1825,47,107,0,6/17/20
San Joaquin,1908,47,83,0,6/18/20
San Joaquin,1969,48,61,1,6/19/20
San Joaquin,2046,48,77,0,6/20/20
San Joaquin,2188,48,142,0,6/21/20
San Joaquin,2332,48,144,0,6/22/20
San Joaquin,2502,48,170,0,6/23/20
San Joaquin,2680,49,178,1,6/24/20
San Joaquin,2803,49,123,0,6/25/20
San Joaquin,2943,52,140,3,6/26/20
San Joaquin,3082,52,139,0,6/27/20
San Joaquin,3201,52,119,0,6/28/20
Ventura,11,0,11,0,3/18/20
Ventura,15,0,4,0,3/19/20
Ventura,18,0,3,0,3/20/20
Ventura,22,0,4,0,3/21/20
Ventura,26,0,4,0,3/22/20
Ventura,30,0,4,0,3/23/20
Ventura,44,1,14,1,3/24/20
Ventura,53,1,9,0,3/25/20
Ventura,70,1,17,0,3/26/20
Ventura,80,2,10,1,3/27/20
Ventura,89,2,9,0,3/28/20
Ventura,92,2,3,0,3/29/20
Ventura,118,2,26,0,3/30/20
Ventura,143,4,25,2,3/31/20
Ventura,154,5,11,1,4/1/20
Ventura,178,5,24,0,4/2/20
Ventura,186,6,8,1,4/3/20
Ventura,194,6,8,0,4/4/20
Ventura,196,6,2,0,4/5/20
Ventura,234,6,38,0,4/6/20
Ventura,247,6,13,0,4/7/20
Ventura,263,7,16,1,4/8/20
Ventura,273,9,10,2,4/9/20
Ventura,290,9,17,0,4/10/20
Ventura,304,9,14,0,4/11/20
Ventura,306,9,2,0,4/12/20
Ventura,311,9,5,0,4/13/20
Ventura,328,10,17,1,4/14/20
Ventura,365,13,37,3,4/15/20
Ventura,384,13,19,0,4/16/20
Ventura,398,13,14,0,4/17/20
Ventura,416,13,18,0,4/18/20
Ventura,418,13,2,0,4/19/20
Ventura,426,13,8,0,4/20/20
Ventura,455,13,29,0,4/21/20
Ventura,465,14,10,1,4/22/20
Ventura,479,16,14,2,4/23/20
Ventura,489,16,10,0,4/24/20
Ventura,494,16,5,0,4/25/20
Ventura,509,17,15,1,4/26/20
Ventura,513,17,4,0,4/27/20
Ventura,517,17,4,0,4/28/20
Ventura,530,18,13,1,4/29/20
Ventura,547,18,17,0,4/30/20
Ventura,556,18,9,0,5/1/20
Ventura,564,19,8,1,5/2/20
Ventura,583,19,19,0,5/3/20
Ventura,590,19,7,0,5/4/20
Ventura,607,19,17,0,5/5/20
Ventura,619,19,12,0,5/6/20
Ventura,647,19,28,0,5/7/20
Ventura,665,19,18,0,5/8/20
Ventura,679,19,14,0,5/9/20
Ventura,690,19,11,0,5/10/20
Ventura,698,19,8,0,5/11/20
Ventura,718,19,20,0,5/12/20
Ventura,742,24,24,5,5/13/20
Ventura,760,25,18,1,5/14/20
Ventura,789,25,29,0,5/15/20
Ventura,813,25,24,0,5/16/20
Ventura,838,25,25,0,5/17/20
Ventura,850,27,12,2,5/18/20
Ventura,861,28,11,1,5/19/20
Ventura,879,28,18,0,5/20/20
Ventura,907,29,28,1,5/21/20
Ventura,937,30,30,1,5/22/20
Ventura,961,30,24,0,5/23/20
Ventura,982,30,21,0,5/24/20
Ventura,1020,30,38,0,5/25/20
Ventura,1033,30,13,0,5/26/20
Ventura,1065,32,32,2,5/27/20
Ventura,1083,32,18,0,5/28/20
Ventura,1093,32,10,0,5/29/20
Ventura,1116,33,23,1,5/30/20
Ventura,1151,33,35,0,5/31/20
Ventura,1163,34,12,1,6/1/20
Ventura,1178,34,15,0,6/2/20
Ventura,1202,34,24,0,6/3/20
Ventura,1236,35,34,1,6/4/20
Ventura,1274,35,38,0,6/5/20
Ventura,1303,35,29,0,6/6/20
Ventura,1337,35,34,0,6/7/20
Ventura,1382,35,45,0,6/8/20
Ventura,1407,35,25,0,6/9/20
Ventura,1446,38,39,3,6/10/20
Ventura,1491,38,45,0,6/11/20
Ventura,1534,40,43,2,6/12/20
Ventura,1567,40,33,0,6/13/20
Ventura,1610,40,43,0,6/14/20
Ventura,1656,41,46,1,6/15/20
Ventura,1676,41,20,0,6/16/20
Ventura,1729,41,53,0,6/17/20
Ventura,1781,41,52,0,6/18/20
Ventura,1865,42,84,1,6/19/20
Ventura,1946,42,81,0,6/20/20
Ventura,2021,42,75,0,6/21/20
Ventura,2065,43,44,1,6/22/20
Ventura,2209,43,144,0,6/23/20
Ventura,2314,44,105,1,6/24/20
Ventura,2346,44,32,0,6/25/20
Ventura,2444,44,98,0,6/26/20
Ventura,2527,44,83,0,6/27/20
Ventura,2650,44,123,0,6/28/20
