county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
Plumas,08/02/20,0.0,0.0,0.0,51.0,0.0,0.0,0.0
Glenn,08/02/20,0.0,2.0,2.0,47.0,0.0,0.0,0.0
Riverside,08/02/20,425.0,87.0,512.0,3237.0,133.0,20.0,95.0
Alameda,08/02/20,194.0,42.0,236.0,2434.0,55.0,9.0,91.0
Yuba,08/02/20,23.0,0.0,23.0,265.0,6.0,0.0,10.0
Mendocino,08/02/20,12.0,0.0,12.0,150.0,0.0,0.0,9.0
Merced,08/02/20,52.0,3.0,55.0,253.0,11.0,1.0,8.0
Sutter,08/02/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madera,08/02/20,48.0,7.0,55.0,274.0,15.0,0.0,3.0
Napa,08/02/20,7.0,0.0,7.0,359.0,3.0,0.0,19.0
Nevada,08/02/20,0.0,0.0,0.0,29.0,0.0,0.0,4.0
Contra Costa,08/02/20,101.0,39.0,140.0,1442.0,38.0,7.0,60.0
Humboldt,08/02/20,0.0,4.0,4.0,258.0,0.0,1.0,4.0
Marin,08/02/20,26.0,3.0,29.0,320.0,6.0,0.0,8.0
Solano,08/02/20,50.0,11.0,61.0,562.0,18.0,0.0,6.0
Marin,08/03/20,23.0,5.0,28.0,313.0,5.0,1.0,12.0
Tuolumne,08/03/20,2.0,1.0,3.0,84.0,0.0,0.0,1.0
Solano,08/03/20,44.0,12.0,56.0,553.0,17.0,1.0,6.0
Mendocino,08/03/20,10.0,0.0,10.0,150.0,0.0,0.0,11.0
Lake,08/03/20,0.0,0.0,0.0,65.0,0.0,0.0,8.0
Merced,08/03/20,56.0,2.0,58.0,253.0,14.0,0.0,5.0
El Dorado,08/03/20,3.0,0.0,3.0,189.0,1.0,0.0,12.0
Kings,08/03/20,71.0,0.0,71.0,199.0,6.0,0.0,4.0
Inyo,08/03/20,3.0,0.0,3.0,29.0,0.0,0.0,4.0
Yolo,08/03/20,7.0,0.0,7.0,96.0,6.0,0.0,4.0
Modoc,08/03/20,0.0,0.0,0.0,41.0,0.0,0.0,0.0
Mariposa,08/03/20,0.0,0.0,0.0,19.0,0.0,0.0,0.0
Trinity,08/03/20,0.0,1.0,1.0,25.0,0.0,0.0,0.0
Alameda,08/03/20,193.0,49.0,242.0,2334.0,55.0,6.0,84.0
Napa,08/03/20,9.0,7.0,16.0,359.0,3.0,0.0,22.0
San Mateo,08/03/20,58.0,15.0,73.0,682.0,14.0,3.0,26.0
Del Norte,08/03/20,0.0,1.0,1.0,52.0,0.0,0.0,3.0
Nevada,08/03/20,0.0,2.0,2.0,109.0,0.0,1.0,9.0
Imperial,08/03/20,56.0,0.0,56.0,261.0,25.0,0.0,2.0
Madera,08/03/20,46.0,14.0,60.0,274.0,13.0,0.0,2.0
Calaveras,08/03/20,0.0,0.0,0.0,33.0,0.0,0.0,8.0
Siskiyou,08/03/20,1.0,0.0,1.0,56.0,1.0,0.0,5.0
Tehama,08/03/20,0.0,0.0,0.0,59.0,0.0,0.0,5.0
Amador,08/03/20,10.0,1.0,11.0,51.0,4.0,0.0,0.0
San Benito,08/03/20,3.0,0.0,3.0,25.0,1.0,0.0,2.0
Fresno,08/03/20,297.0,39.0,336.0,1538.0,59.0,3.0,19.0
Santa Barbara,08/03/20,82.0,7.0,89.0,666.0,25.0,0.0,43.0
Yuba,08/03/20,21.0,0.0,21.0,265.0,5.0,0.0,13.0
San Joaquin,08/03/20,222.0,31.0,253.0,1020.0,67.0,5.0,22.0
Santa Cruz,08/03/20,15.0,11.0,26.0,276.0,3.0,3.0,11.0
Lassen,08/03/20,0.0,1.0,1.0,25.0,0.0,0.0,0.0
Sacramento,08/03/20,274.0,34.0,308.0,2452.0,87.0,3.0,90.0
Mono,08/03/20,0.0,0.0,0.0,17.0,0.0,0.0,2.0
Monterey,08/03/20,47.0,3.0,50.0,757.0,19.0,0.0,11.0
Colusa,08/03/20,1.0,0.0,1.0,48.0,0.0,0.0,0.0
Kern,08/03/20,222.0,24.0,246.0,1392.0,80.0,7.0,43.0
Riverside,08/03/20,450.0,93.0,543.0,3278.0,133.0,19.0,88.0
San Bernardino,08/03/20,561.0,76.0,637.0,3822.0,188.0,10.0,126.0
Ventura,08/03/20,88.0,41.0,129.0,1306.0,19.0,7.0,45.0
Tulare,08/03/20,105.0,5.0,110.0,714.0,17.0,1.0,10.0
San Luis Obispo,08/03/20,11.0,1.0,12.0,477.0,4.0,0.0,21.0
San Francisco,08/03/20,89.0,15.0,104.0,1709.0,34.0,2.0,123.0
Los Angeles,08/03/20,1768.0,541.0,2309.0,19242.0,537.0,68.0,915.0
Butte,08/03/20,26.0,0.0,26.0,451.0,8.0,0.0,10.0
Orange,08/03/20,539.0,66.0,605.0,5814.0,167.0,12.0,306.0
Contra Costa,08/03/20,99.0,40.0,139.0,1410.0,42.0,12.0,53.0
Plumas,08/03/20,0.0,0.0,0.0,51.0,0.0,0.0,0.0
Placer,08/03/20,62.0,28.0,90.0,733.0,14.0,5.0,28.0
Sonoma,08/03/20,41.0,17.0,58.0,480.0,13.0,1.0,7.0
Humboldt,08/03/20,0.0,2.0,2.0,264.0,0.0,0.0,7.0
Stanislaus,08/03/20,215.0,43.0,258.0,1212.0,48.0,4.0,38.0
Sutter,08/03/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shasta,08/03/20,7.0,0.0,7.0,434.0,3.0,0.0,8.0
San Diego,08/03/20,294.0,67.0,361.0,6136.0,103.0,14.0,323.0
Santa Clara,08/03/20,171.0,31.0,202.0,3201.0,52.0,2.0,110.0
Glenn,08/03/20,0.0,2.0,2.0,47.0,0.0,0.0,0.0
Amador,08/04/20,10.0,0.0,10.0,51.0,3.0,0.0,1.0
Shasta,08/04/20,5.0,0.0,5.0,437.0,3.0,0.0,3.0
Sonoma,08/04/20,42.0,15.0,57.0,485.0,11.0,1.0,10.0
Plumas,08/04/20,0.0,0.0,0.0,51.0,0.0,0.0,0.0
Merced,08/04/20,50.0,1.0,51.0,254.0,14.0,0.0,5.0
Mono,08/04/20,0.0,0.0,0.0,17.0,0.0,0.0,1.0
Tehama,08/04/20,0.0,0.0,0.0,59.0,0.0,0.0,7.0
San Benito,08/04/20,3.0,0.0,3.0,25.0,1.0,0.0,1.0
Yuba,08/04/20,22.0,0.0,22.0,265.0,5.0,0.0,10.0
Mendocino,08/04/20,12.0,0.0,12.0,150.0,0.0,0.0,8.0
Marin,08/04/20,21.0,5.0,26.0,312.0,5.0,0.0,9.0
Placer,08/04/20,65.0,38.0,103.0,731.0,15.0,4.0,25.0
Yolo,08/04/20,5.0,1.0,6.0,96.0,5.0,0.0,8.0
Alameda,08/04/20,196.0,54.0,250.0,2363.0,53.0,10.0,93.0
Stanislaus,08/04/20,219.0,52.0,271.0,1219.0,50.0,3.0,21.0
Lassen,08/04/20,0.0,0.0,0.0,25.0,0.0,0.0,0.0
Kings,08/04/20,70.0,0.0,70.0,199.0,9.0,0.0,1.0
Mariposa,08/04/20,0.0,0.0,0.0,19.0,0.0,0.0,0.0
Santa Clara,08/04/20,171.0,29.0,200.0,3230.0,53.0,1.0,104.0
San Diego,08/04/20,311.0,93.0,404.0,6044.0,111.0,19.0,311.0
Glenn,08/04/20,0.0,2.0,2.0,47.0,0.0,0.0,0.0
San Joaquin,08/04/20,214.0,67.0,281.0,1014.0,54.0,10.0,21.0
Modoc,08/04/20,0.0,0.0,0.0,41.0,0.0,0.0,0.0
Nevada,08/04/20,1.0,1.0,2.0,91.0,0.0,0.0,12.0
Kern,08/04/20,212.0,21.0,233.0,1435.0,66.0,2.0,44.0
Humboldt,08/04/20,0.0,2.0,2.0,267.0,0.0,0.0,7.0
Solano,08/04/20,42.0,11.0,53.0,558.0,16.0,2.0,4.0
El Dorado,08/04/20,2.0,1.0,3.0,189.0,0.0,0.0,11.0
Inyo,08/04/20,1.0,0.0,1.0,29.0,0.0,0.0,4.0
Sutter,08/04/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Cruz,08/04/20,12.0,9.0,21.0,276.0,6.0,1.0,12.0
Napa,08/04/20,9.0,1.0,10.0,359.0,3.0,0.0,21.0
Santa Barbara,08/04/20,81.0,3.0,84.0,666.0,25.0,0.0,42.0
Calaveras,08/04/20,1.0,1.0,2.0,33.0,0.0,0.0,8.0
Tulare,08/04/20,114.0,4.0,118.0,714.0,15.0,2.0,6.0
Fresno,08/04/20,295.0,41.0,336.0,1557.0,55.0,5.0,13.0
Trinity,08/04/20,0.0,4.0,4.0,25.0,0.0,0.0,0.0
Butte,08/04/20,23.0,0.0,23.0,451.0,11.0,0.0,7.0
Sacramento,08/04/20,262.0,48.0,310.0,2462.0,87.0,6.0,89.0
San Luis Obispo,08/04/20,12.0,4.0,16.0,477.0,4.0,1.0,23.0
Orange,08/04/20,536.0,44.0,580.0,5762.0,172.0,7.0,309.0
Contra Costa,08/04/20,95.0,41.0,136.0,1427.0,43.0,9.0,57.0
Riverside,08/04/20,411.0,100.0,511.0,3247.0,134.0,20.0,79.0
Monterey,08/04/20,51.0,1.0,52.0,757.0,17.0,1.0,20.0
San Bernardino,08/04/20,541.0,58.0,599.0,3810.0,174.0,6.0,131.0
Siskiyou,08/04/20,1.0,0.0,1.0,56.0,0.0,0.0,5.0
Colusa,08/04/20,2.0,3.0,5.0,48.0,0.0,0.0,0.0
Ventura,08/04/20,81.0,29.0,110.0,1306.0,21.0,6.0,39.0
Los Angeles,08/04/20,1741.0,556.0,2297.0,19053.0,508.0,57.0,887.0
Lake,08/04/20,0.0,1.0,1.0,65.0,0.0,0.0,4.0
Del Norte,08/04/20,0.0,0.0,0.0,51.0,0.0,0.0,4.0
San Mateo,08/04/20,54.0,12.0,66.0,692.0,12.0,2.0,27.0
San Francisco,08/04/20,92.0,12.0,104.0,1772.0,33.0,1.0,69.0
Madera,08/04/20,46.0,3.0,49.0,274.0,14.0,1.0,2.0
Imperial,08/04/20,47.0,0.0,47.0,261.0,20.0,0.0,4.0
Tuolumne,08/04/20,3.0,0.0,3.0,84.0,0.0,0.0,0.0
Mariposa,08/05/20,0.0,0.0,0.0,19.0,0.0,0.0,0.0
San Luis Obispo,08/05/20,12.0,5.0,17.0,477.0,5.0,1.0,21.0
Solano,08/05/20,45.0,15.0,60.0,557.0,17.0,4.0,5.0
Santa Cruz,08/05/20,12.0,6.0,18.0,276.0,3.0,0.0,9.0
Kings,08/05/20,73.0,1.0,74.0,193.0,9.0,1.0,8.0
San Benito,08/05/20,2.0,0.0,2.0,25.0,1.0,0.0,0.0
Mono,08/05/20,1.0,0.0,1.0,17.0,0.0,0.0,1.0
Butte,08/05/20,26.0,3.0,29.0,451.0,10.0,0.0,5.0
Amador,08/05/20,6.0,0.0,6.0,51.0,3.0,0.0,1.0
Santa Clara,08/05/20,168.0,31.0,199.0,3167.0,51.0,1.0,116.0
Siskiyou,08/05/20,0.0,0.0,0.0,56.0,0.0,0.0,2.0
Lassen,08/05/20,0.0,0.0,0.0,25.0,0.0,0.0,0.0
Nevada,08/05/20,1.0,2.0,3.0,121.0,0.0,0.0,10.0
El Dorado,08/05/20,2.0,1.0,3.0,189.0,1.0,1.0,4.0
Lake,08/05/20,1.0,1.0,2.0,65.0,0.0,1.0,2.0
Del Norte,08/05/20,0.0,0.0,0.0,51.0,0.0,0.0,3.0
Tuolumne,08/05/20,2.0,1.0,3.0,84.0,0.0,0.0,1.0
Napa,08/05/20,8.0,0.0,8.0,345.0,3.0,0.0,20.0
Yuba,08/05/20,25.0,0.0,25.0,265.0,5.0,0.0,8.0
San Bernardino,08/05/20,541.0,76.0,617.0,3783.0,170.0,7.0,128.0
Merced,08/05/20,51.0,0.0,51.0,254.0,13.0,0.0,5.0
San Mateo,08/05/20,49.0,13.0,62.0,696.0,19.0,3.0,22.0
Sutter,08/05/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mendocino,08/05/20,13.0,0.0,13.0,150.0,1.0,0.0,7.0
Inyo,08/05/20,1.0,0.0,1.0,29.0,0.0,0.0,4.0
Santa Barbara,08/05/20,84.0,0.0,84.0,666.0,29.0,0.0,39.0
Stanislaus,08/05/20,223.0,57.0,280.0,1219.0,55.0,5.0,9.0
Trinity,08/05/20,0.0,2.0,2.0,25.0,0.0,0.0,0.0
Tehama,08/05/20,0.0,0.0,0.0,59.0,0.0,0.0,3.0
Yolo,08/05/20,10.0,0.0,10.0,96.0,7.0,0.0,4.0
Riverside,08/05/20,415.0,93.0,508.0,3422.0,128.0,12.0,85.0
Placer,08/05/20,67.0,39.0,106.0,740.0,12.0,3.0,26.0
Glenn,08/05/20,0.0,2.0,2.0,47.0,0.0,0.0,0.0
San Joaquin,08/05/20,206.0,48.0,254.0,1012.0,65.0,23.0,21.0
Calaveras,08/05/20,1.0,3.0,4.0,33.0,0.0,3.0,8.0
Kern,08/05/20,222.0,7.0,229.0,1279.0,76.0,0.0,72.0
Modoc,08/05/20,0.0,0.0,0.0,41.0,0.0,0.0,0.0
Humboldt,08/05/20,0.0,1.0,1.0,261.0,0.0,0.0,7.0
Imperial,08/05/20,47.0,0.0,47.0,261.0,19.0,0.0,4.0
San Diego,08/05/20,295.0,76.0,371.0,6159.0,100.0,12.0,314.0
Sonoma,08/05/20,43.0,5.0,48.0,545.0,10.0,1.0,8.0
Los Angeles,08/05/20,1680.0,602.0,2282.0,19541.0,502.0,81.0,865.0
Contra Costa,08/05/20,89.0,37.0,126.0,1437.0,40.0,7.0,47.0
Sacramento,08/05/20,262.0,48.0,310.0,2474.0,88.0,5.0,79.0
Shasta,08/05/20,7.0,0.0,7.0,440.0,3.0,0.0,33.0
Plumas,08/05/20,0.0,0.0,0.0,51.0,0.0,0.0,0.0
Colusa,08/05/20,1.0,4.0,5.0,48.0,0.0,0.0,0.0
Ventura,08/05/20,79.0,38.0,117.0,1318.0,26.0,5.0,37.0
Marin,08/05/20,21.0,2.0,23.0,317.0,6.0,0.0,9.0
San Francisco,08/05/20,80.0,14.0,94.0,1848.0,30.0,0.0,76.0
Monterey,08/05/20,52.0,1.0,53.0,691.0,17.0,1.0,22.0
Orange,08/05/20,517.0,75.0,592.0,5991.0,171.0,8.0,319.0
Tulare,08/05/20,98.0,6.0,104.0,714.0,15.0,2.0,7.0
Madera,08/05/20,45.0,5.0,50.0,274.0,13.0,0.0,1.0
Fresno,08/05/20,296.0,40.0,336.0,1574.0,56.0,4.0,14.0
Alameda,08/05/20,190.0,56.0,246.0,2414.0,49.0,7.0,98.0
San Francisco,08/06/20,85.0,9.0,94.0,1820.0,31.0,1.0,60.0
Yuba,08/06/20,28.0,0.0,28.0,265.0,7.0,0.0,8.0
Colusa,08/06/20,3.0,2.0,5.0,48.0,0.0,0.0,0.0
Mendocino,08/06/20,14.0,0.0,14.0,150.0,2.0,0.0,5.0
Contra Costa,08/06/20,98.0,35.0,133.0,1435.0,43.0,3.0,46.0
Siskiyou,08/06/20,0.0,1.0,1.0,56.0,0.0,1.0,2.0
Glenn,08/06/20,0.0,2.0,2.0,47.0,0.0,0.0,0.0
Orange,08/06/20,511.0,47.0,558.0,5980.0,177.0,6.0,306.0
Lake,08/06/20,1.0,1.0,2.0,65.0,0.0,1.0,1.0
Butte,08/06/20,23.0,1.0,24.0,451.0,8.0,0.0,6.0
Napa,08/06/20,8.0,1.0,9.0,359.0,4.0,1.0,20.0
Tulare,08/06/20,98.0,3.0,101.0,714.0,11.0,1.0,10.0
Marin,08/06/20,24.0,3.0,27.0,309.0,6.0,0.0,8.0
Mono,08/06/20,1.0,0.0,1.0,17.0,1.0,0.0,0.0
Imperial,08/06/20,49.0,0.0,49.0,261.0,17.0,0.0,5.0
San Diego,08/06/20,283.0,59.0,342.0,6023.0,95.0,12.0,295.0
Santa Cruz,08/06/20,12.0,13.0,25.0,276.0,3.0,2.0,11.0
Monterey,08/06/20,51.0,1.0,52.0,710.0,18.0,1.0,19.0
Shasta,08/06/20,7.0,0.0,7.0,422.0,2.0,0.0,8.0
Sacramento,08/06/20,250.0,59.0,309.0,2464.0,81.0,10.0,93.0
Placer,08/06/20,63.0,36.0,99.0,740.0,10.0,1.0,31.0
Kings,08/06/20,73.0,0.0,73.0,193.0,8.0,0.0,10.0
Calaveras,08/06/20,2.0,1.0,3.0,33.0,2.0,0.0,5.0
Sutter,08/06/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yolo,08/06/20,10.0,0.0,10.0,96.0,7.0,0.0,4.0
Nevada,08/06/20,2.0,0.0,2.0,105.0,0.0,0.0,3.0
San Bernardino,08/06/20,530.0,71.0,601.0,3791.0,169.0,6.0,123.0
Trinity,08/06/20,0.0,0.0,0.0,25.0,0.0,0.0,0.0
Tehama,08/06/20,2.0,0.0,2.0,59.0,1.0,0.0,2.0
Modoc,08/06/20,0.0,0.0,0.0,41.0,0.0,0.0,0.0
Mariposa,08/06/20,0.0,0.0,0.0,19.0,0.0,0.0,0.0
Merced,08/06/20,55.0,3.0,58.0,254.0,15.0,1.0,3.0
San Luis Obispo,08/06/20,11.0,3.0,14.0,451.0,4.0,0.0,21.0
Santa Barbara,08/06/20,82.0,6.0,88.0,666.0,27.0,2.0,39.0
Riverside,08/06/20,409.0,106.0,515.0,3391.0,125.0,14.0,87.0
Inyo,08/06/20,1.0,0.0,1.0,29.0,0.0,0.0,4.0
Kern,08/06/20,217.0,12.0,229.0,1297.0,72.0,0.0,45.0
Los Angeles,08/06/20,1610.0,581.0,2191.0,19413.0,499.0,73.0,836.0
Stanislaus,08/06/20,216.0,58.0,274.0,1243.0,51.0,7.0,10.0
Santa Clara,08/06/20,175.0,21.0,196.0,3072.0,53.0,2.0,101.0
Ventura,08/06/20,81.0,33.0,114.0,1314.0,23.0,8.0,37.0
San Joaquin,08/06/20,196.0,26.0,222.0,1011.0,63.0,6.0,17.0
Sonoma,08/06/20,37.0,14.0,51.0,515.0,10.0,2.0,6.0
Solano,08/06/20,40.0,15.0,55.0,561.0,16.0,2.0,6.0
Humboldt,08/06/20,1.0,1.0,2.0,260.0,0.0,0.0,7.0
El Dorado,08/06/20,3.0,0.0,3.0,189.0,1.0,0.0,6.0
Del Norte,08/06/20,0.0,5.0,5.0,51.0,0.0,2.0,3.0
San Benito,08/06/20,2.0,1.0,3.0,25.0,1.0,0.0,1.0
Amador,08/06/20,8.0,0.0,8.0,51.0,3.0,0.0,1.0
Alameda,08/06/20,175.0,50.0,225.0,2407.0,52.0,7.0,98.0
San Mateo,08/06/20,45.0,16.0,61.0,685.0,16.0,1.0,31.0
Plumas,08/06/20,0.0,0.0,0.0,35.0,0.0,0.0,0.0
Lassen,08/06/20,0.0,0.0,0.0,25.0,0.0,0.0,0.0
Madera,08/06/20,46.0,4.0,50.0,274.0,9.0,0.0,6.0
Fresno,08/06/20,292.0,43.0,335.0,1579.0,55.0,6.0,17.0
Tuolumne,08/06/20,2.0,2.0,4.0,84.0,0.0,1.0,1.0
Trinity,08/07/20,0.0,0.0,0.0,25.0,0.0,0.0,0.0
San Francisco,08/07/20,79.0,11.0,90.0,1832.0,30.0,0.0,54.0
Humboldt,08/07/20,1.0,6.0,7.0,260.0,0.0,2.0,8.0
Colusa,08/07/20,5.0,2.0,7.0,48.0,0.0,0.0,0.0
Lake,08/07/20,4.0,0.0,4.0,65.0,4.0,0.0,2.0
San Mateo,08/07/20,42.0,16.0,58.0,695.0,12.0,2.0,27.0
Sacramento,08/07/20,259.0,74.0,333.0,2456.0,84.0,13.0,84.0
San Bernardino,08/07/20,493.0,60.0,553.0,3786.0,157.0,8.0,136.0
Tehama,08/07/20,2.0,0.0,2.0,59.0,2.0,0.0,2.0
Plumas,08/07/20,0.0,0.0,0.0,35.0,0.0,0.0,0.0
Mariposa,08/07/20,0.0,0.0,0.0,19.0,0.0,0.0,0.0
San Benito,08/07/20,2.0,0.0,2.0,25.0,1.0,0.0,3.0
Inyo,08/07/20,2.0,0.0,2.0,29.0,0.0,0.0,4.0
Solano,08/07/20,39.0,18.0,57.0,552.0,16.0,1.0,7.0
San Joaquin,08/07/20,171.0,14.0,185.0,1022.0,73.0,0.0,13.0
Tuolumne,08/07/20,6.0,4.0,10.0,84.0,6.0,3.0,2.0
Mendocino,08/07/20,17.0,0.0,17.0,150.0,9.0,0.0,7.0
Placer,08/07/20,63.0,39.0,102.0,733.0,12.0,0.0,26.0
Napa,08/07/20,7.0,3.0,10.0,359.0,4.0,3.0,17.0
Yuba,08/07/20,30.0,0.0,30.0,265.0,24.0,0.0,9.0
Kings,08/07/20,71.0,0.0,71.0,193.0,18.0,0.0,9.0
Tulare,08/07/20,102.0,3.0,105.0,714.0,16.0,1.0,16.0
Kern,08/07/20,214.0,15.0,229.0,1300.0,87.0,0.0,43.0
San Diego,08/07/20,279.0,67.0,346.0,6017.0,91.0,19.0,301.0
Imperial,08/07/20,48.0,0.0,48.0,261.0,16.0,0.0,6.0
Mono,08/07/20,1.0,0.0,1.0,17.0,1.0,0.0,1.0
Monterey,08/07/20,48.0,3.0,51.0,710.0,20.0,0.0,22.0
Contra Costa,08/07/20,99.0,28.0,127.0,1430.0,42.0,4.0,45.0
Los Angeles,08/07/20,1568.0,478.0,2046.0,18941.0,519.0,64.0,814.0
Riverside,08/07/20,382.0,105.0,487.0,3419.0,118.0,14.0,99.0
Stanislaus,08/07/20,211.0,44.0,255.0,1249.0,48.0,3.0,22.0
Glenn,08/07/20,0.0,2.0,2.0,47.0,0.0,0.0,0.0
Modoc,08/07/20,0.0,0.0,0.0,41.0,0.0,0.0,0.0
Del Norte,08/07/20,1.0,4.0,5.0,52.0,0.0,2.0,2.0
San Luis Obispo,08/07/20,12.0,4.0,16.0,451.0,3.0,0.0,21.0
Butte,08/07/20,20.0,0.0,20.0,451.0,8.0,0.0,9.0
Orange,08/07/20,491.0,51.0,542.0,5706.0,167.0,8.0,247.0
Alameda,08/07/20,167.0,47.0,214.0,2393.0,51.0,9.0,87.0
Fresno,08/07/20,279.0,45.0,324.0,1555.0,57.0,3.0,8.0
Calaveras,08/07/20,2.0,0.0,2.0,33.0,2.0,0.0,4.0
Marin,08/07/20,24.0,2.0,26.0,313.0,5.0,0.0,8.0
Shasta,08/07/20,6.0,0.0,6.0,427.0,1.0,0.0,8.0
Madera,08/07/20,41.0,9.0,50.0,274.0,9.0,0.0,6.0
Sutter,08/07/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nevada,08/07/20,2.0,0.0,2.0,113.0,0.0,0.0,8.0
Lassen,08/07/20,0.0,0.0,0.0,25.0,0.0,0.0,0.0
El Dorado,08/07/20,3.0,0.0,3.0,189.0,2.0,0.0,9.0
Santa Barbara,08/07/20,80.0,6.0,86.0,666.0,29.0,1.0,40.0
Santa Cruz,08/07/20,13.0,5.0,18.0,276.0,4.0,0.0,12.0
Siskiyou,08/07/20,0.0,1.0,1.0,56.0,0.0,1.0,4.0
Merced,08/07/20,59.0,0.0,59.0,253.0,15.0,0.0,0.0
Yolo,08/07/20,6.0,0.0,6.0,96.0,5.0,0.0,6.0
Sonoma,08/07/20,36.0,2.0,38.0,532.0,10.0,1.0,7.0
Amador,08/07/20,7.0,0.0,7.0,51.0,3.0,0.0,2.0
Ventura,08/07/20,82.0,22.0,104.0,1314.0,32.0,6.0,36.0
Santa Clara,08/07/20,170.0,20.0,190.0,3047.0,55.0,2.0,99.0
Santa Clara,08/08/20,176.0,27.0,203.0,3040.0,57.0,6.0,109.0
Sonoma,08/08/20,36.0,13.0,49.0,547.0,10.0,2.0,7.0
Los Angeles,08/08/20,1514.0,513.0,2027.0,19208.0,476.0,66.0,820.0
San Benito,08/08/20,3.0,0.0,3.0,25.0,1.0,0.0,3.0
Monterey,08/08/20,48.0,0.0,48.0,710.0,21.0,0.0,20.0
Yolo,08/08/20,8.0,0.0,8.0,96.0,5.0,0.0,2.0
Solano,08/08/20,37.0,20.0,57.0,553.0,16.0,1.0,4.0
San Luis Obispo,08/08/20,12.0,4.0,16.0,451.0,4.0,0.0,19.0
Tulare,08/08/20,94.0,1.0,95.0,714.0,11.0,0.0,16.0
Riverside,08/08/20,373.0,77.0,450.0,3316.0,114.0,13.0,108.0
El Dorado,08/08/20,4.0,1.0,5.0,189.0,3.0,1.0,5.0
Tehama,08/08/20,2.0,0.0,2.0,59.0,2.0,0.0,4.0
Santa Barbara,08/08/20,84.0,8.0,92.0,666.0,31.0,0.0,41.0
Napa,08/08/20,6.0,0.0,6.0,359.0,2.0,0.0,19.0
Inyo,08/08/20,1.0,0.0,1.0,29.0,0.0,0.0,4.0
Trinity,08/08/20,0.0,0.0,0.0,25.0,0.0,0.0,0.0
San Mateo,08/08/20,45.0,16.0,61.0,683.0,12.0,3.0,30.0
Lake,08/08/20,0.0,1.0,1.0,66.0,0.0,1.0,3.0
Imperial,08/08/20,48.0,0.0,48.0,261.0,14.0,0.0,8.0
Ventura,08/08/20,78.0,27.0,105.0,1318.0,21.0,9.0,43.0
Mono,08/08/20,1.0,0.0,1.0,17.0,1.0,0.0,1.0
Alameda,08/08/20,163.0,45.0,208.0,2376.0,58.0,6.0,92.0
Modoc,08/08/20,0.0,0.0,0.0,41.0,0.0,0.0,0.0
Sacramento,08/08/20,263.0,62.0,325.0,2435.0,87.0,6.0,96.0
Madera,08/08/20,46.0,19.0,65.0,274.0,9.0,0.0,4.0
Merced,08/08/20,57.0,0.0,57.0,253.0,13.0,0.0,4.0
San Diego,08/08/20,267.0,56.0,323.0,6149.0,90.0,11.0,324.0
Stanislaus,08/08/20,200.0,45.0,245.0,1248.0,48.0,2.0,19.0
Orange,08/08/20,487.0,63.0,550.0,5660.0,163.0,11.0,333.0
Humboldt,08/08/20,1.0,5.0,6.0,260.0,0.0,2.0,5.0
Sutter,08/08/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lassen,08/08/20,0.0,0.0,0.0,25.0,0.0,0.0,0.0
Plumas,08/08/20,0.0,0.0,0.0,35.0,0.0,0.0,0.0
Siskiyou,08/08/20,0.0,1.0,1.0,56.0,0.0,1.0,4.0
Fresno,08/08/20,287.0,40.0,327.0,1563.0,54.0,0.0,13.0
Mariposa,08/08/20,1.0,0.0,1.0,19.0,0.0,0.0,0.0
Kings,08/08/20,63.0,0.0,63.0,193.0,7.0,0.0,12.0
Yuba,08/08/20,26.0,0.0,26.0,265.0,7.0,0.0,9.0
Mendocino,08/08/20,13.0,0.0,13.0,150.0,1.0,0.0,7.0
Tuolumne,08/08/20,1.0,3.0,4.0,84.0,0.0,2.0,0.0
Marin,08/08/20,19.0,0.0,19.0,319.0,6.0,0.0,8.0
Colusa,08/08/20,6.0,2.0,8.0,48.0,0.0,0.0,0.0
Nevada,08/08/20,3.0,0.0,3.0,103.0,0.0,0.0,4.0
Shasta,08/08/20,4.0,0.0,4.0,427.0,1.0,0.0,6.0
Del Norte,08/08/20,1.0,1.0,2.0,52.0,1.0,0.0,0.0
Placer,08/08/20,66.0,27.0,93.0,737.0,13.0,1.0,28.0
Amador,08/08/20,8.0,0.0,8.0,51.0,2.0,0.0,1.0
San Joaquin,08/08/20,167.0,11.0,178.0,1016.0,64.0,1.0,21.0
Calaveras,08/08/20,2.0,1.0,3.0,33.0,2.0,1.0,5.0
Contra Costa,08/08/20,98.0,21.0,119.0,1434.0,38.0,4.0,44.0
San Bernardino,08/08/20,485.0,69.0,554.0,3755.0,153.0,8.0,137.0
Butte,08/08/20,23.0,0.0,23.0,451.0,7.0,0.0,12.0
Glenn,08/08/20,0.0,2.0,2.0,47.0,0.0,0.0,0.0
Santa Cruz,08/08/20,13.0,7.0,20.0,276.0,3.0,0.0,12.0
Kern,08/08/20,219.0,14.0,233.0,1292.0,74.0,0.0,35.0
