Establishment Category,Establishment Details,Establishment Status,Report Date,State,State Status
Houses of worship,,Open,"July 7, 2020",SC,Pausing
Entertainment,"Museums, zoos, aquariums",Open,"July 7, 2020",SC,Pausing
Outdoor and recreation,"Beaches, piers, docks, etc.; Gyms; Pools",Open,"July 7, 2020",SC,Pausing
Retail,Retail stores,Reopened,"July 7, 2020",SC,Pausing
Food and drink,Restaurant dining,Reopened,"July 7, 2020",SC,Pausing
Personal care,"Salons, barbershops, tattoo parlors, etc.",Reopened,"July 7, 2020",SC,Pausing
Houses of worship,,Reopened,"July 7, 2020",SC,Pausing
Entertainment,"Museums, zoos, aquariums",Reopened,"July 7, 2020",SC,Pausing
Outdoor and recreation,"Beaches, piers, docks, etc.; Gyms; Pools",Reopened,"July 7, 2020",SC,Pausing
Retail,Retail stores in most counties; Retail stores,Open,"July 7, 2020",WA,Pausing
Food and drink,Restaurant dining in most counties,Open,"July 7, 2020",WA,Pausing
Personal care,"Hair salons, barbershops, tattoo parlors, etc. in most counties; Pet grooming in most counties; Gyms in most counties; Hair salons, barbershops, tattoo parlors, etc.; Pet grooming",Open,"July 7, 2020",WA,Pausing
Houses of worship,Religious services in most counties,Open,"July 7, 2020",WA,Pausing
Entertainment,Casinos,Open,"July 7, 2020",WA,Pausing
Outdoor and recreation,"State parks, fishing, hunting, golf courses",Open,"July 7, 2020",WA,Pausing
Industries,Construction,Open,"July 7, 2020",WA,Pausing
Retail,Retail stores in most counties; Retail stores,Reopened,"July 7, 2020",WA,Pausing
Food and drink,Restaurant dining in most counties,Reopened,"July 7, 2020",WA,Pausing
Personal care,"Hair salons, barbershops, tattoo parlors, etc. in most counties; Pet grooming in most counties; Gyms in most counties; Hair salons, barbershops, tattoo parlors, etc.; Pet grooming",Reopened,"July 7, 2020",WA,Pausing
Houses of worship,Religious services in most counties,Reopened,"July 7, 2020",WA,Pausing
Entertainment,Casinos,Reopened,"July 7, 2020",WA,Pausing
Outdoor and recreation,"State parks, fishing, hunting, golf courses",Reopened,"July 7, 2020",WA,Pausing
Industries,Construction,Reopened,"July 7, 2020",WA,Pausing
Retail,Retail stores,Open,"July 7, 2020",WY,Pausing
Food and drink,Restaurant dining,Open,"July 7, 2020",WY,Pausing
Personal care,"Hair salons, barbershops, tattoo parlors, massage therapy, etc.",Open,"July 7, 2020",WY,Pausing
Houses of worship,,Open,"July 7, 2020",WY,Pausing
Entertainment,"Movie theaters, entertaiment venues",Open,"July 7, 2020",WY,Pausing
Outdoor and recreation,Gyms; State parks,Open,"July 7, 2020",WY,Pausing
Retail,Retail stores,Reopened,"July 7, 2020",WY,Pausing
Food and drink,Restaurant dining,Reopened,"July 7, 2020",WY,Pausing
Personal care,"Hair salons, barbershops, tattoo parlors, massage therapy, etc.",Reopened,"July 7, 2020",WY,Pausing
Houses of worship,,Reopened,"July 7, 2020",WY,Pausing
Entertainment,"Movie theaters, entertaiment venues",Reopened,"July 7, 2020",WY,Pausing
Outdoor and recreation,Gyms; State parks,Reopened,"July 7, 2020",WY,Pausing
Retail,Retail stores,Open,"July 7, 2020",AZ,Reversing
Food and drink,Restaurant dining,Open,"July 7, 2020",AZ,Reversing
Personal care,"Barbershops, salons, etc.",Open,"July 7, 2020",AZ,Reversing
Houses of worship,,Open,"July 7, 2020",AZ,Reversing
Entertainment,Casinos,Open,"July 7, 2020",AZ,Reversing
Outdoor and recreation,"Pools, spas",Open,"July 7, 2020",AZ,Reversing
Food and drink,Bars,Closed,"July 7, 2020",AZ,Reversing
Entertainment,Movie theaters,Closed,"July 7, 2020",AZ,Reversing
Outdoor and recreation,Gyms; Waterparks,Closed,"July 7, 2020",AZ,Reversing
Retail,Retail stores,Reopened,"July 7, 2020",AZ,Reversing
Food and drink,Restaurant dining,Reopened,"July 7, 2020",AZ,Reversing
Personal care,"Barbershops, salons, etc.",Reopened,"July 7, 2020",AZ,Reversing
Houses of worship,,Reopened,"July 7, 2020",AZ,Reversing
Entertainment,Casinos,Reopened,"July 7, 2020",AZ,Reversing
Outdoor and recreation,"Pools, spas",Reopened,"July 7, 2020",AZ,Reversing
Retail,Retail,Open,"July 7, 2020",CA,Reversing
Food and drink,Restaurant dining in some counties; Bars in some counties,Open,"July 7, 2020",CA,Reversing
Personal care,"Pet groomers; Hair salons and barbershops in some counties; Nail salons, cosmetology services, tattoo parlors, piercing shops in some counties",Open,"July 7, 2020",CA,Reversing
Houses of worship,,Open,"July 7, 2020",CA,Reversing
Entertainment,"Casinos in some counties; Museums, galleries, zoos, aquariums in some counties; Bowling alleys, arcades, mini golf, theaters in some counties",Open,"July 7, 2020",CA,Reversing
Outdoor and recreation,Gyms in some counties,Open,"July 7, 2020",CA,Reversing
Industries,"Manufacturing; Warehouses; Offices; Movie, TV and music production",Open,"July 7, 2020",CA,Reversing
Retail,Retail,Reopened,"July 7, 2020",CA,Reversing
Food and drink,Restaurant dining in some counties; Bars in some counties,Reopened,"July 7, 2020",CA,Reversing
Personal care,"Pet groomers; Hair salons and barbershops in some counties; Nail salons, cosmetology services, tattoo parlors, piercing shops in some counties",Reopened,"July 7, 2020",CA,Reversing
Houses of worship,,Reopened,"July 7, 2020",CA,Reversing
Entertainment,"Casinos in some counties; Museums, galleries, zoos, aquariums in some counties; Bowling alleys, arcades, mini golf, theaters in some counties",Reopened,"July 7, 2020",CA,Reversing
Outdoor and recreation,Gyms in some counties,Reopened,"July 7, 2020",CA,Reversing
Industries,"Manufacturing; Warehouses; Offices; Movie, TV and music production",Reopened,"July 7, 2020",CA,Reversing
Retail,Retail stores,Open,"July 7, 2020",CO,Reversing
Food and drink,Restaurant dining,Open,"July 7, 2020",CO,Reversing
Personal care,Salons and personal services,Open,"July 7, 2020",CO,Reversing
Houses of worship,,Open,"July 7, 2020",CO,Reversing
Entertainment,"Museums, indoor events; Fairs, rodeos, concerts, outdoor events; Libraries",Open,"July 7, 2020",CO,Reversing
Outdoor and recreation,"Campgrounds; Pools, playgrounds; Gyms",Open,"July 7, 2020",CO,Reversing
Industries,Offices; Manufacturing,Open,"July 7, 2020",CO,Reversing
Food and drink,Bars,Closed,"July 7, 2020",CO,Reversing
Entertainment,Casinos,Closed,"July 7, 2020",CO,Reversing
Retail,Retail stores,Reopened,"July 7, 2020",CO,Reversing
Food and drink,Restaurant dining,Reopened,"July 7, 2020",CO,Reversing
Personal care,Salons and personal services,Reopened,"July 7, 2020",CO,Reversing
Houses of worship,,Reopened,"July 7, 2020",CO,Reversing
Entertainment,"Museums, indoor events; Fairs, rodeos, concerts, outdoor events; Libraries",Reopened,"July 7, 2020",CO,Reversing
Outdoor and recreation,"Campgrounds; Pools, playgrounds; Gyms",Reopened,"July 7, 2020",CO,Reversing
Industries,Offices; Manufacturing,Reopened,"July 7, 2020",CO,Reversing
Retail,Retail stores,Open,"July 7, 2020",FL,Reversing
Food and drink,Restaurant dining,Open,"July 7, 2020",FL,Reversing
Personal care,"Salons; Tattoo parlors, massage therapy, tanning salons, acupuncture in most counties",Open,"July 7, 2020",FL,Reversing
Houses of worship,,Open,"July 7, 2020",FL,Reversing
Entertainment,"Sporting venues without spectators; Museums, libraries; Movie theaters, concert halls, bowling alleys in most counties",Open,"July 7, 2020",FL,Reversing
Outdoor and recreation,"Beaches, trails; Gyms",Open,"July 7, 2020",FL,Reversing
Food and drink,Bars,Closed,"July 7, 2020",FL,Reversing
Retail,Retail stores,Reopened,"July 7, 2020",FL,Reversing
Food and drink,Restaurant dining,Reopened,"July 7, 2020",FL,Reversing
Personal care,"Salons; Tattoo parlors, massage therapy, tanning salons, acupuncture in most counties",Reopened,"July 7, 2020",FL,Reversing
Houses of worship,,Reopened,"July 7, 2020",FL,Reversing
Entertainment,"Sporting venues without spectators; Museums, libraries; Movie theaters, concert halls, bowling alleys in most counties",Reopened,"July 7, 2020",FL,Reversing
Outdoor and recreation,"Beaches, trails; Gyms",Reopened,"July 7, 2020",FL,Reversing
Retail,Retail stores,Open,"July 7, 2020",MI,Reversing
Food and drink,Bars for indoor service in certain counties; Restaurant dining; Bars for outdoor service,Open,"July 7, 2020",MI,Reversing
Personal care,"Pet groomers; Hair salons, barbershops, nail salons, tattoo parlors",Open,"July 7, 2020",MI,Reversing
Houses of worship,,Open,"July 7, 2020",MI,Reversing
Entertainment,"Arcades, bowling alleys, theaters, night clubs and convention centers in some regions",Open,"July 7, 2020",MI,Reversing
Outdoor and recreation,"Golf courses, marinas; Pools; Gyms in some regions",Open,"July 7, 2020",MI,Reversing
Industries,"Construction, real estate; Manufacturing, including auto companies; Offices",Open,"July 7, 2020",MI,Reversing
Food and drink,Bars for indoor service in certain counties,Closed,"July 7, 2020",MI,Reversing
Outdoor and recreation,Gyms,Closed,"July 7, 2020",MI,Reversing
Retail,Retail stores,Reopened,"July 7, 2020",MI,Reversing
Food and drink,Bars for indoor service in certain counties; Restaurant dining; Bars for outdoor service,Reopened,"July 7, 2020",MI,Reversing
Personal care,"Pet groomers; Hair salons, barbershops, nail salons, tattoo parlors",Reopened,"July 7, 2020",MI,Reversing
Houses of worship,,Reopened,"July 7, 2020",MI,Reversing
Entertainment,"Arcades, bowling alleys, theaters, night clubs and convention centers in some regions",Reopened,"July 7, 2020",MI,Reversing
Outdoor and recreation,"Golf courses, marinas; Pools; Gyms in some regions",Reopened,"July 7, 2020",MI,Reversing
Industries,"Construction, real estate; Manufacturing, including auto companies; Offices",Reopened,"July 7, 2020",MI,Reversing
Retail,"Retail stores, malls",Open,"July 7, 2020",TX,Reversing
Food and drink,Restaurant dining,Open,"July 7, 2020",TX,Reversing
Personal care,"Salons, barbershops, etc.; Massage services",Open,"July 7, 2020",TX,Reversing
Houses of worship,,Open,"July 7, 2020",TX,Reversing
Entertainment,"Movie theaters, museums, libraries; Bowling alleys, bingo halls, skating rinks, rodeos; Aquariums; Amusement parks; Carnivals",Open,"July 7, 2020",TX,Reversing
Outdoor and recreation,State parks; Pools; Gyms; Water parks; Zoos,Open,"July 7, 2020",TX,Reversing
Industries,"Offices, manufacturing",Open,"July 7, 2020",TX,Reversing
Food and drink,Bars,Closed,"July 7, 2020",TX,Reversing
Retail,"Retail stores, malls",Reopened,"July 7, 2020",TX,Reversing
Food and drink,Restaurant dining,Reopened,"July 7, 2020",TX,Reversing
Personal care,"Salons, barbershops, etc.; Massage services",Reopened,"July 7, 2020",TX,Reversing
Houses of worship,,Reopened,"July 7, 2020",TX,Reversing
Entertainment,"Movie theaters, museums, libraries; Bowling alleys, bingo halls, skating rinks, rodeos; Aquariums; Amusement parks; Carnivals",Reopened,"July 7, 2020",TX,Reversing
Outdoor and recreation,State parks; Pools; Gyms; Water parks; Zoos,Reopened,"July 7, 2020",TX,Reversing
Industries,"Offices, manufacturing",Reopened,"July 7, 2020",TX,Reversing
Retail,Retail stores,Open,"July 6, 2020",AK,Reopened
Food and drink,Restaurant dining; Bars,Open,"July 6, 2020",AK,Reopened
Personal care,"Hair salons, barbershops, nail salons, etc.",Open,"July 6, 2020",AK,Reopened
Houses of worship,,Open,"July 6, 2020",AK,Reopened
Entertainment,Libraries; Theaters; Bowling alleys; Museums,Open,"July 6, 2020",AK,Reopened
Outdoor and recreation,Gyms; Pools,Open,"July 6, 2020",AK,Reopened
Retail,Retail stores,Reopened,"July 6, 2020",AK,Reopened
Food and drink,Restaurant dining; Bars,Reopened,"July 6, 2020",AK,Reopened
Personal care,"Hair salons, barbershops, nail salons, etc.",Reopened,"July 6, 2020",AK,Reopened
Houses of worship,,Reopened,"July 6, 2020",AK,Reopened
Entertainment,Libraries; Theaters; Bowling alleys; Museums,Reopened,"July 6, 2020",AK,Reopened
Outdoor and recreation,Gyms; Pools,Reopened,"July 6, 2020",AK,Reopened
Retail,"Retail stores, malls",Open,"July 6, 2020",IA,Reopened
Food and drink,Restaurant dining; Bars,Open,"July 6, 2020",IA,Reopened
Personal care,"Medical spas, tanning salons; Salons, barbershops, tattoo parlors, etc.",Open,"July 6, 2020",IA,Reopened
Houses of worship,,Open,"July 6, 2020",IA,Reopened
Entertainment,"Libraries; Movie theaters; Museums, zoos, aquariums; Casinos; Outdoor venues; Bowling alleys, amusement parks; Indoor venues",Open,"July 6, 2020",IA,Reopened
Outdoor and recreation,"Campgrounds; Gyms; Pools; Playgrounds, skating rinks, skate parks",Open,"July 6, 2020",IA,Reopened
Retail,"Retail stores, malls",Reopened,"July 6, 2020",IA,Reopened
Food and drink,Restaurant dining; Bars,Reopened,"July 6, 2020",IA,Reopened
Personal care,"Medical spas, tanning salons; Salons, barbershops, tattoo parlors, etc.",Reopened,"July 6, 2020",IA,Reopened
Houses of worship,,Reopened,"July 6, 2020",IA,Reopened
Entertainment,"Libraries; Movie theaters; Museums, zoos, aquariums; Casinos; Outdoor venues; Bowling alleys, amusement parks; Indoor venues",Reopened,"July 6, 2020",IA,Reopened
Outdoor and recreation,"Campgrounds; Gyms; Pools; Playgrounds, skating rinks, skate parks",Reopened,"July 6, 2020",IA,Reopened
Retail,Retail stores,Open,"July 6, 2020",KS,Reopened
Food and drink,Restaurant dining; Bars,Open,"July 6, 2020",KS,Reopened
Personal care,"Salons, barbershops, tattoo parlors",Open,"July 6, 2020",KS,Reopened
Houses of worship,,Open,"July 6, 2020",KS,Reopened
Entertainment,"Theaters, museums and bowling alleys; Casinos; Nightclubs",Open,"July 6, 2020",KS,Reopened
Outdoor and recreation,"Gyms; Community centers, sports facilities; Pools",Open,"July 6, 2020",KS,Reopened
Industries,Offices,Open,"July 6, 2020",KS,Reopened
Retail,Retail stores,Reopened,"July 6, 2020",KS,Reopened
Food and drink,Restaurant dining; Bars,Reopened,"July 6, 2020",KS,Reopened
Personal care,"Salons, barbershops, tattoo parlors",Reopened,"July 6, 2020",KS,Reopened
Houses of worship,,Reopened,"July 6, 2020",KS,Reopened
Entertainment,"Theaters, museums and bowling alleys; Casinos; Nightclubs",Reopened,"July 6, 2020",KS,Reopened
Outdoor and recreation,"Gyms; Community centers, sports facilities; Pools",Reopened,"July 6, 2020",KS,Reopened
Industries,Offices,Reopened,"July 6, 2020",KS,Reopened
Retail,Retail stores,Open,"July 6, 2020",KY,Reopened
Food and drink,Restaurant dining; Distilleries; Bars,Open,"July 6, 2020",KY,Reopened
Personal care,"Pet grooming and boarding; Salons, barbershops, tattoo parlors, etc.",Open,"July 6, 2020",KY,Reopened
Houses of worship,,Open,"July 6, 2020",KY,Reopened
Entertainment,"Movie theaters; Bowling alleys; Museums, aquariums, libraries, outdoor attractions; Venues and events spaces",Open,"July 6, 2020",KY,Reopened
Outdoor and recreation,Gyms; Aquatic centers; Campgrounds; Public pools,Open,"July 6, 2020",KY,Reopened
Industries,"Manufacturing, construction, offices",Open,"July 6, 2020",KY,Reopened
Retail,Retail stores,Reopened,"July 6, 2020",KY,Reopened
Food and drink,Restaurant dining; Distilleries; Bars,Reopened,"July 6, 2020",KY,Reopened
Personal care,"Pet grooming and boarding; Salons, barbershops, tattoo parlors, etc.",Reopened,"July 6, 2020",KY,Reopened
Houses of worship,,Reopened,"July 6, 2020",KY,Reopened
Entertainment,"Movie theaters; Bowling alleys; Museums, aquariums, libraries, outdoor attractions; Venues and events spaces",Reopened,"July 6, 2020",KY,Reopened
Outdoor and recreation,Gyms; Aquatic centers; Campgrounds; Public pools,Reopened,"July 6, 2020",KY,Reopened
Industries,"Manufacturing, construction, offices",Reopened,"July 6, 2020",KY,Reopened
Retail,Retail stores,Open,"July 6, 2020",MO,Reopened
Food and drink,Restaurant dining,Open,"July 6, 2020",MO,Reopened
Personal care,"Salons, barbershops, tattoo parlors, etc.",Open,"July 6, 2020",MO,Reopened
Houses of worship,,Open,"July 6, 2020",MO,Reopened
Entertainment,"Movie theaters, music venues, etc.; Casinos",Open,"July 6, 2020",MO,Reopened
Outdoor and recreation,Gyms; Campgrounds,Open,"July 6, 2020",MO,Reopened
Retail,Retail stores,Reopened,"July 6, 2020",MO,Reopened
Food and drink,Restaurant dining,Reopened,"July 6, 2020",MO,Reopened
Personal care,"Salons, barbershops, tattoo parlors, etc.",Reopened,"July 6, 2020",MO,Reopened
Houses of worship,,Reopened,"July 6, 2020",MO,Reopened
Entertainment,"Movie theaters, music venues, etc.; Casinos",Reopened,"July 6, 2020",MO,Reopened
Outdoor and recreation,Gyms; Campgrounds,Reopened,"July 6, 2020",MO,Reopened
Retail,Retail stores,Open,"July 6, 2020",NH,Reopened
Food and drink,Restaurant dining,Open,"July 6, 2020",NH,Reopened
Personal care,"Barbershops, hair salons, etc.; Nail salons; Tanning salons; Tattoo shops; Acupuncturists and massage therapists",Open,"July 6, 2020",NH,Reopened
Houses of worship,,Open,"July 6, 2020",NH,Reopened
Entertainment,"Libraries, museums, art galleries; Bowling alleys and entertainment centers; Movie theaters; Amusement parks; Live performances",Open,"July 6, 2020",NH,Reopened
Outdoor and recreation,Golf courses; Outdoor attractions; Beaches; Gyms; Pools,Open,"July 6, 2020",NH,Reopened
Retail,Retail stores,Reopened,"July 6, 2020",NH,Reopened
Food and drink,Restaurant dining,Reopened,"July 6, 2020",NH,Reopened
Personal care,"Barbershops, hair salons, etc.; Nail salons; Tanning salons; Tattoo shops; Acupuncturists and massage therapists",Reopened,"July 6, 2020",NH,Reopened
Houses of worship,,Reopened,"July 6, 2020",NH,Reopened
Entertainment,"Libraries, museums, art galleries; Bowling alleys and entertainment centers; Movie theaters; Amusement parks; Live performances",Reopened,"July 6, 2020",NH,Reopened
Outdoor and recreation,Golf courses; Outdoor attractions; Beaches; Gyms; Pools,Reopened,"July 6, 2020",NH,Reopened
Retail,Retail stores,Open,"July 6, 2020",OK,Reopened
Food and drink,Restaurant dining; Bars,Open,"July 6, 2020",OK,Reopened
Personal care,"Salons, barbershops, spas, pet groomers, etc.; Tattoo parlors",Open,"July 6, 2020",OK,Reopened
Houses of worship,,Open,"July 6, 2020",OK,Reopened
Entertainment,"Movie theaters, sports venues, museums; Nightclubs",Open,"July 6, 2020",OK,Reopened
Outdoor and recreation,State parks; Zoos; Gyms,Open,"July 6, 2020",OK,Reopened
Industries,Offices,Open,"July 6, 2020",OK,Reopened
Retail,Retail stores,Reopened,"July 6, 2020",OK,Reopened
Food and drink,Restaurant dining; Bars,Reopened,"July 6, 2020",OK,Reopened
Personal care,"Salons, barbershops, spas, pet groomers, etc.; Tattoo parlors",Reopened,"July 6, 2020",OK,Reopened
Houses of worship,,Reopened,"July 6, 2020",OK,Reopened
Entertainment,"Movie theaters, sports venues, museums; Nightclubs",Reopened,"July 6, 2020",OK,Reopened
Outdoor and recreation,State parks; Zoos; Gyms,Reopened,"July 6, 2020",OK,Reopened
Industries,Offices,Reopened,"July 6, 2020",OK,Reopened
Retail,Retail stores,Open,"July 6, 2020",SD,Reopened
Food and drink,Restaurant dining,Open,"July 6, 2020",SD,Reopened
Personal care,"Salons, barbershops",Open,"July 6, 2020",SD,Reopened
Houses of worship,,Open,"July 6, 2020",SD,Reopened
Outdoor and recreation,Gyms,Open,"July 6, 2020",SD,Reopened
Retail,Retail stores,Reopened,"July 6, 2020",SD,Reopened
Food and drink,Restaurant dining,Reopened,"July 6, 2020",SD,Reopened
Personal care,"Salons, barbershops",Reopened,"July 6, 2020",SD,Reopened
Houses of worship,,Reopened,"July 6, 2020",SD,Reopened
Outdoor and recreation,Gyms,Reopened,"July 6, 2020",SD,Reopened
Retail,Retail stores,Open,"July 6, 2020",WI,Reopened
Food and drink,Restaurants and bars,Open,"July 6, 2020",WI,Reopened
Personal care,"Pet groomers for curbside dropoff; Hair salons, spas, barbershops",Open,"July 6, 2020",WI,Reopened
Houses of worship,,Open,"July 6, 2020",WI,Reopened
Outdoor and recreation,Golf courses; State parks; Gyms,Open,"July 6, 2020",WI,Reopened
Retail,Retail stores,Reopened,"July 6, 2020",WI,Reopened
Food and drink,Restaurants and bars,Reopened,"July 6, 2020",WI,Reopened
Personal care,"Pet groomers for curbside dropoff; Hair salons, spas, barbershops",Reopened,"July 6, 2020",WI,Reopened
Houses of worship,,Reopened,"July 6, 2020",WI,Reopened
Outdoor and recreation,Golf courses; State parks; Gyms,Reopened,"July 6, 2020",WI,Reopened
Retail,"Retail stores, malls",Open,"July 6, 2020",CT,Forward
Food and drink,Restaurant dining,Open,"July 6, 2020",CT,Forward
Personal care,"Hair salons, barbershops; Nail salons; Tattoo parlors, spas",Open,"July 6, 2020",CT,Forward
Houses of worship,,Open,"July 6, 2020",CT,Forward
Entertainment,"Museums, zoos; Casinos; Movie theaters; Libraries; Amusement parks, bowling alleys",Open,"July 6, 2020",CT,Forward
Outdoor and recreation,Beaches; Gyms,Open,"July 6, 2020",CT,Forward
Industries,Offices,Open,"July 6, 2020",CT,Forward
Food and drink,Bars,Closed,"July 6, 2020",CT,Forward
Retail,"Retail stores, malls",Reopened,"July 6, 2020",CT,Forward
Food and drink,Restaurant dining,Reopened,"July 6, 2020",CT,Forward
Personal care,"Hair salons, barbershops; Nail salons; Tattoo parlors, spas",Reopened,"July 6, 2020",CT,Forward
Houses of worship,,Reopened,"July 6, 2020",CT,Forward
Entertainment,"Museums, zoos; Casinos; Movie theaters; Libraries; Amusement parks, bowling alleys",Reopened,"July 6, 2020",CT,Forward
Outdoor and recreation,Beaches; Gyms,Reopened,"July 6, 2020",CT,Forward
Industries,Offices,Reopened,"July 6, 2020",CT,Forward
Retail,Retail stores,Open,"July 6, 2020",DC,Forward
Food and drink,Restaurants dining,Open,"July 6, 2020",DC,Forward
Personal care,"Barbershops, hair salons; Nail salons, waxing salons, spas",Open,"July 6, 2020",DC,Forward
Houses of worship,,Open,"July 6, 2020",DC,Forward
Entertainment,"Museums, libraries",Open,"July 6, 2020",DC,Forward
Outdoor and recreation,"Dog parks, golf courses, tennis courts, parks; Gyms",Open,"July 6, 2020",DC,Forward
Entertainment,Nightclubs,Closed,"July 6, 2020",DC,Forward
Retail,Retail stores,Reopened,"July 6, 2020",DC,Forward
Food and drink,Restaurants dining,Reopened,"July 6, 2020",DC,Forward
Personal care,"Barbershops, hair salons; Nail salons, waxing salons, spas",Reopened,"July 6, 2020",DC,Forward
Houses of worship,,Reopened,"July 6, 2020",DC,Forward
Entertainment,"Museums, libraries",Reopened,"July 6, 2020",DC,Forward
Outdoor and recreation,"Dog parks, golf courses, tennis courts, parks; Gyms",Reopened,"July 6, 2020",DC,Forward
Retail,Retail,Open,"July 6, 2020",GA,Forward
Food and drink,Restaurant dining,Open,"July 6, 2020",GA,Forward
Personal care,"Hair salons, barbershops, etc.",Open,"July 6, 2020",GA,Forward
Houses of worship,,Open,"July 6, 2020",GA,Forward
Entertainment,"Bowling alleys; Theaters, private social clubs; Large venues; Bars, nightclubs",Open,"July 6, 2020",GA,Forward
Outdoor and recreation,Gyms,Open,"July 6, 2020",GA,Forward
Retail,Retail,Reopened,"July 6, 2020",GA,Forward
Food and drink,Restaurant dining,Reopened,"July 6, 2020",GA,Forward
Personal care,"Hair salons, barbershops, etc.",Reopened,"July 6, 2020",GA,Forward
Houses of worship,,Reopened,"July 6, 2020",GA,Forward
Entertainment,"Bowling alleys; Theaters, private social clubs; Large venues; Bars, nightclubs",Reopened,"July 6, 2020",GA,Forward
Outdoor and recreation,Gyms,Reopened,"July 6, 2020",GA,Forward
Retail,Retail stores,Open,"July 6, 2020",HI,Forward
Food and drink,Restaurant dining; Bars,Open,"July 6, 2020",HI,Forward
Personal care,Pet groomers; Nail salons in some areas; Tattoo parlors in some areas; Salons and barbershops,Open,"July 6, 2020",HI,Forward
Houses of worship,,Open,"July 6, 2020",HI,Forward
Entertainment,"Arcades, bowling alleys, theaters in some areas",Open,"July 6, 2020",HI,Forward
Outdoor and recreation,"Beaches, piers, docks, etc.; State parks; Pools and waterparks in some areas; Campgrounds in some areas; Gyms",Open,"July 6, 2020",HI,Forward
Industries,Construction in some areas; Offices in some areas,Open,"July 6, 2020",HI,Forward
Retail,Retail stores,Reopened,"July 6, 2020",HI,Forward
Food and drink,Restaurant dining; Bars,Reopened,"July 6, 2020",HI,Forward
Personal care,Pet groomers; Nail salons in some areas; Tattoo parlors in some areas; Salons and barbershops,Reopened,"July 6, 2020",HI,Forward
Houses of worship,,Reopened,"July 6, 2020",HI,Forward
Entertainment,"Arcades, bowling alleys, theaters in some areas",Reopened,"July 6, 2020",HI,Forward
Outdoor and recreation,"Beaches, piers, docks, etc.; State parks; Pools and waterparks in some areas; Campgrounds in some areas; Gyms",Reopened,"July 6, 2020",HI,Forward
Industries,Construction in some areas; Offices in some areas,Reopened,"July 6, 2020",HI,Forward
Retail,Retail stores,Open,"July 6, 2020",IL,Forward
Food and drink,Restaurant dining,Open,"July 6, 2020",IL,Forward
Personal care,"Pet grooming; Hair salons, barber shops, nail salons, spas, waxing centers, tattoo parlors",Open,"July 6, 2020",IL,Forward
Houses of worship,,Open,"July 6, 2020",IL,Forward
Entertainment,"Museums, zoos; Theaters",Open,"July 6, 2020",IL,Forward
Outdoor and recreation,"State parks; limited fishing, boating, golf courses; Gyms",Open,"July 6, 2020",IL,Forward
Industries,Manufacturing; Offices,Open,"July 6, 2020",IL,Forward
Retail,Retail stores,Reopened,"July 6, 2020",IL,Forward
Food and drink,Restaurant dining,Reopened,"July 6, 2020",IL,Forward
Personal care,"Pet grooming; Hair salons, barber shops, nail salons, spas, waxing centers, tattoo parlors",Reopened,"July 6, 2020",IL,Forward
Houses of worship,,Reopened,"July 6, 2020",IL,Forward
Entertainment,"Museums, zoos; Theaters",Reopened,"July 6, 2020",IL,Forward
Outdoor and recreation,"State parks; limited fishing, boating, golf courses; Gyms",Reopened,"July 6, 2020",IL,Forward
Industries,Manufacturing; Offices,Reopened,"July 6, 2020",IL,Forward
Retail,Retail stores,Open,"July 6, 2020",ME,Forward
Food and drink,Restaurants; Bars open for outdoor service,Open,"July 6, 2020",ME,Forward
Personal care,"Hair salons, barbershops, pet groomers; Nail salons and tattoo parlors; Spas and massage parlors",Open,"July 6, 2020",ME,Forward
Houses of worship,,Open,"July 6, 2020",ME,Forward
Entertainment,"Amusement parks, water parks; Bowling alleys and arcades; Movie theaters; Performing arts venues",Open,"July 6, 2020",ME,Forward
Outdoor and recreation,"State parks, boating, golf courses; Remote campgrounds, hunting and fishing; Private campgrounds, RV parks; Gyms",Open,"July 6, 2020",ME,Forward
Food and drink,Bars for indoor service,Closed,"July 6, 2020",ME,Forward
Retail,Retail stores,Reopened,"July 6, 2020",ME,Forward
Food and drink,Restaurants; Bars open for outdoor service,Reopened,"July 6, 2020",ME,Forward
Personal care,"Hair salons, barbershops, pet groomers; Nail salons and tattoo parlors; Spas and massage parlors",Reopened,"July 6, 2020",ME,Forward
Houses of worship,,Reopened,"July 6, 2020",ME,Forward
Entertainment,"Amusement parks, water parks; Bowling alleys and arcades; Movie theaters; Performing arts venues",Reopened,"July 6, 2020",ME,Forward
Outdoor and recreation,"State parks, boating, golf courses; Remote campgrounds, hunting and fishing; Private campgrounds, RV parks; Gyms",Reopened,"July 6, 2020",ME,Forward
Retail,Retail stores; Malls,Open,"July 6, 2020",MD,Forward
Food and drink,"Outdoor service at breweries, wineries, and distilleries; Restaurants",Open,"July 6, 2020",MD,Forward
Personal care,"Hair salons, barbershops; Nail salons, massage parlors, tanning salons, tattoo parlors",Open,"July 6, 2020",MD,Forward
Houses of worship,,Open,"July 6, 2020",MD,Forward
Entertainment,Casinos,Open,"July 6, 2020",MD,Forward
Outdoor and recreation,"Golf courses, outdoor shooting ranges, marinas, campgrounds; Beaches; Outdoor pools and day camps; Gyms",Open,"July 6, 2020",MD,Forward
Industries,"Manufacturing; Construction, offices",Open,"July 6, 2020",MD,Forward
Food and drink,Bars,Closed,"July 6, 2020",MD,Forward
Entertainment,Theaters,Closed,"July 6, 2020",MD,Forward
Retail,Retail stores; Malls,Reopened,"July 6, 2020",MD,Forward
